# columns = TERM LEMMA POS PROB
# identifier = balzac1842FC54
# creator = Balzac, Honoré de
# created = 1842
# modified = 1846
# title = Un épisode sous la Terreur. Études de mœurs. Scènes de la vie politique

↵↵	↵↵	PUNCTstruct
vue	vue	NOUN
affaiblie	affaiblir	VERB
depuis	depuis	ADP
longtemps	longtemps	ADV
ne	ne	ADV
lui	lui	PRON
permettait	permettre	VERB
pas	pas	ADV
d'ailleurs	d'ailleurs	ADV
de	de	ADP
apercevoir	apercevoir	VERB
dans	dans	ADP
le	le	DET
lointain	lointain	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
lueur	lueur	NOUN
des	un	ADP_DET
lanternes	lanterne	NOUN
,	,	PUNCTclause
quelques	quelque	DET
passants	passant	NOUN
clairsemés	clairsemer	VERB
comme	comme	ADP
des	un	DET
ombres	ombre	NOUN
dans	dans	ADP
l'	le	DET
immense	immense	ADJ
voie	voie	NOUN
de	de	ADP
ce	ce	DET
faubourg	faubourg	NOUN
.	.	PUNCTsent
Elle	elle	PRON
allait	aller	VERB
courageusement	courageusement	ADV
seule	seul	ADJ
à travers	à travers	ADP
cette	ce	DET
solitude	solitude	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
son	son	DET
âge	âge	NOUN
était	être	AUX
un	un	DET
talisman	talisman	NOUN
qui	qui	PRON
dût	devoir	VERB
la	le	DET
préserver	préserver	VERB
de	de	ADP
tout	tout	PRON
malheur	malheur	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
elle	elle	PRON
eut	avoir	VERB
dépassé	dépasser	VERB
la	le	DET
rue	rue	NOUN
des	un	ADP_DET
Morts	mort	NOUN
,	,	PUNCTclause
elle	elle	PRON
crut	croire	VERB
distinguer	distinguer	VERB
le	le	DET
pas	pas	ADV
lourd	lourd	ADJ
et	et	CCONJ
ferme	ferme	ADJ
de	de	ADP
un	un	DET
homme	homme	NOUN
qui	qui	PRON
marchait	marcher	VERB
derrière	derrière	ADP
elle	elle	PRON
.	.	PUNCTsent
Elle	elle	PRON
se	se	PRON
imagina	imaginer	VERB
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
entendait	entendre	VERB
pas	pas	ADV
ce	ce	DET
bruit	bruit	NOUN
pour	pour	ADP
la première fois	la première fois	ADV
;	;	PUNCTclause
elle	elle	PRON
se	se	PRON
effraya	effrayer	VERB
de	de	ADP
avoir	avoir	AUX
été	être	AUX
suivie	suivre	VERB
,	,	PUNCTclause
et	et	CCONJ
tenta	tenter	VERB
de	de	ADP
aller	aller	VERB
plus	plus	ADV
vite	vite	ADV
encore	encore	ADV
afin de	afin de	ADP
atteindre	atteindre	VERB
à	à	ADP
une	un	DET
boutique	boutique	NOUN
assez	assez	ADV
bien	bien	ADV
éclairée	éclairer	VERB
,	,	PUNCTclause
espérant	espérer	VERB
pouvoir	pouvoir	VERB
vérifier	vérifier	VERB
à	à	ADP
la	le	DET
lumière	lumière	NOUN
les	le	DET
soupçons	soupçon	NOUN
dont	dont	PRON
elle	elle	PRON
était	être	AUX
saisie	saisir	VERB
.	.	PUNCTsent
Aussitôt	aussitôt	ADV
que	que	SCONJ
elle	elle	PRON
se	se	PRON
trouva	trouver	VERB
dans	dans	ADP
le	le	DET
rayon	rayon	NOUN
de	de	ADP
lueur	lueur	NOUN
horizontale	horizontal	ADJ
qui	qui	PRON
partait	partir	VERB
de	de	ADP
cette	ce	DET
boutique	boutique	NOUN
,	,	PUNCTclause
elle	elle	PRON
retourna	retourner	VERB
brusquement	brusquement	ADV
la	le	DET
tête	tête	NOUN
,	,	PUNCTclause
et	et	CCONJ
entrevit	entrevoir	VERB
une	un	DET
forme	forme	NOUN
humaine	humain	ADJ
dans	dans	ADP
le	le	DET
brouillard	brouillard	NOUN
;	;	PUNCTclause
cette	ce	DET
indistincte	indistinct	ADJ
vision	vision	NOUN
lui	lui	PRON
suffit	suffire	VERB
,	,	PUNCTclause
elle	elle	PRON
chancela	chanceler	VERB
un	un	DET
moment	moment	NOUN
sous	sous	ADP
le	le	DET
poids	poids	NOUN
de	de	ADP
la	le	DET
terreur	terreur	NOUN
dont	dont	PRON
elle	elle	PRON
fut	être	AUX
accablée	accabler	VERB
,	,	PUNCTclause
car	car	CCONJ
elle	elle	PRON
ne	ne	ADV
douta	douter	VERB
plus	plus	ADV
alors que	alors que	CCONJ
elle	elle	PRON
ne	ne	ADV
eût	avoir	AUX
été	être	AUX
escortée	escorter	VERB
par	par	ADP
l'	le	DET
inconnu	inconnu	NOUN
depuis	depuis	ADP
le	le	DET
premier	premier	ADJ
pas	pas	NOUN
que	que	PRON
elle	elle	PRON
avait	avoir	AUX
fait	faire	VERB
hors de	hors de	ADP
chez	chez	ADP
elle	elle	PRON
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
désir	désir	NOUN
de	de	ADP
échapper	échapper	VERB
à	à	ADP
un	un	DET
espion	espion	NOUN
lui	lui	PRON
prêta	prêter	VERB
des	un	DET
forces	force	NOUN
.	.	PUNCTsent
Incapable	incapable	ADJ
de	de	ADP
raisonner	raisonner	VERB
,	,	PUNCTclause
elle	elle	PRON
doubla	doubler	VERB
le	le	DET
pas	pas	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
elle	elle	PRON
pouvait	pouvoir	VERB
se	se	PRON
soustraire	soustraire	VERB
à	à	ADP
un	un	DET
homme	homme	NOUN
nécessairement	nécessairement	ADV
plus	plus	ADV
agile	agile	ADJ
que	que	SCONJ
elle	elle	PRON
.	.	PUNCTsent
Après	après	ADP
avoir	avoir	AUX
couru	courir	VERB
pendant	pendant	ADP
quelques	quelque	DET
minutes	minute	NOUN
,	,	PUNCTclause
elle	elle	PRON
parvint	parvenir	VERB
à	à	ADP
la	le	DET
boutique	boutique	NOUN
de	de	ADP
un	un	DET
pâtissier	pâtissier	NOUN
,	,	PUNCTclause
y	y	PRON
entra	entrer	VERB
et	et	CCONJ
tomba	tomber	VERB
,	,	PUNCTclause
plutôt	plutôt	ADV
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
se	se	PRON
assit	asseoir	VERB
,	,	PUNCTclause
sur	sur	ADP
une	un	DET
chaise	chaise	NOUN
placée	placer	VERB
devant	devant	ADP
le	le	DET
comptoir	comptoir	NOUN
.	.	PUNCTsent
au moment où	au moment où	ADP
elle	elle	PRON
fit	faire	AUX
crier	crier	VERB
le	le	DET
loquet	loquet	NOUN
de	de	ADP
la	le	DET
porte	porte	NOUN
,	,	PUNCTclause
une	un	DET
jeune	jeune	ADJ
femme	femme	NOUN
occupée	occuper	VERB
à	à	ADP
broder	broder	VERB
leva	lever	VERB
les	le	DET
yeux	œil	NOUN
,	,	PUNCTclause
reconnut	reconnaître	VERB
,	,	PUNCTclause
à travers	à travers	ADP
les	le	DET
carreaux	carreau	NOUN
du	du	ADP_DET
vitrage	vitrage	NOUN
,	,	PUNCTclause
la	le	DET
mante	mante	NOUN
de	de	ADP
forme	forme	NOUN
antique	antique	ADJ
et	et	CCONJ
de	de	ADP
soie	soie	NOUN
violette	violet	ADJ
dans	dans	ADP
laquelle	laquelle	PRON
la	le	DET
vieille dame	vieille dame	NOUN
était	être	AUX
enveloppée	envelopper	VERB
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
empressa	empresser	VERB
de	de	ADP
ouvrir	ouvrir	VERB
un	un	DET
tiroir	tiroir	NOUN
comme	comme	SCONJ
pour	pour	ADP
y	y	PRON
prendre	prendre	VERB
une	un	DET
chose	chose	NOUN
que	que	PRON
elle	elle	PRON
devait	devoir	VERB
lui	lui	PRON
remettre	remettre	VERB
.	.	PUNCTsent
Non-seulement	Non-seulement	PROPN
le	le	DET
geste	geste	NOUN
et	et	CCONJ
la	le	DET
physionomie	physionomie	NOUN
de	de	ADP
la	le	DET
jeune	jeune	ADJ
femme	femme	NOUN
exprimèrent	exprimer	VERB
le	le	DET
désir	désir	NOUN
de	de	ADP
se	se	PRON
débarrasser	débarrasser	VERB
promptement	promptement	ADV
de	de	ADP
l'	le	DET
inconnue	inconnue	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
ce	ce	PRON
eût	avoir	AUX
été	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
personnes	personne	NOUN
que	que	SCONJ
on	on	PRON
ne	ne	ADV
voit	voir	VERB
pas	pas	ADV
avec	avec	ADP
plaisir	plaisir	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
elle	elle	PRON
laissa	laisser	VERB
échapper	échapper	VERB
une	un	DET
expression	expression	NOUN
de	de	ADP
impatience	impatience	NOUN
en	en	ADP
trouvant	trouver	VERB
le	le	DET
tiroir	tiroir	NOUN
vide	vide	ADJ
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
sans	sans	ADP
regarder	regarder	VERB
la	le	DET
dame	dame	NOUN
,	,	PUNCTclause
elle	elle	PRON
sortit	sortir	VERB
précipitamment	précipitamment	ADV
du	du	ADP_DET
comptoir	comptoir	NOUN
,	,	PUNCTclause
alla	aller	VERB
vers	vers	ADP
l'	le	DET
arrière-boutique	arrière-boutique	NOUN
,	,	PUNCTclause
et	et	CCONJ
appela	appeler	VERB
son	son	DET
mari	mari	NOUN
,	,	PUNCTclause
qui	qui	PRON
parut	paraître	VERB
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Où	où	PRON
donc	donc	ADV
as	avoir	AUX
tu	tu	PRON
mis	mettre	VERB
…	…	PUNCTsent
?	?	PUNCTsent
lui	lui	PRON
demanda	demander	VERB
elle	elle	PRON
de	de	ADP
un	un	DET
air	air	NOUN
de	de	ADP
mystère	mystère	NOUN
en	en	ADP
lui	lui	PRON
désignant	désigner	VERB
la	le	DET
vieille dame	vieille dame	NOUN
par	par	ADP
un	un	DET
coups d'œil	coups d'œil	NOUN
et	et	CCONJ
sans	sans	ADP
achever	achever	VERB
sa	son	DET
phrase	phrase	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quoique	quoique	SCONJ
le	le	DET
pâtissier	pâtissier	NOUN
ne	ne	ADV
pût	pouvoir	VERB
voir	voir	VERB
que	que	SCONJ
l'	le	DET
immense	immense	ADJ
bonnet	bonnet	NOUN
de	de	ADP
soie	soie	NOUN
noire	noir	ADJ
environné	environner	VERB
de	de	ADP
nœuds	nœud	NOUN
en	en	ADP
rubans	ruban	NOUN
violets	violet	ADJ
qui	qui	PRON
servait	servir	VERB
de	de	ADP
coiffure	coiffure	NOUN
à	à	ADP
l'	le	DET
inconnue	inconnue	NOUN
,	,	PUNCTclause
il	il	PRON
disparut	disparaître	VERB
après	après	ADP
avoir	avoir	AUX
jeté	jeter	VERB
à	à	ADP
sa	son	DET
femme	femme	NOUN
un	un	DET
regard	regard	NOUN
qui	qui	PRON
semblait	sembler	VERB
dire	dire	VERB
:	:	PUNCTclause
—	—	PUNCTclause
Crois	croire	PRON
tu	tu	PRON
que	que	PRON
je	je	PRON
vais	aller	VERB
laisser	laisser	VERB
cela	cela	PRON
dans	dans	ADP
ton	ton	DET
comptoir	comptoir	NOUN
?…	?…	PUNCTsent
étonnée	étonner	VERB
du	du	ADP_DET
silence	silence	NOUN
et	et	CCONJ
de	de	ADP
l'	le	DET
immobilité	immobilité	NOUN
de	de	ADP
la	le	DET
vieille dame	vieille dame	NOUN
,	,	PUNCTclause
la	le	DET
marchande	marchand	NOUN
revint	revenir	VERB
auprès de	auprès de	ADP
elle	elle	PRON
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
en	en	ADP
la	le:PRON	PRON
voyant	voir	VERB
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
sentit	sentir	VERB
saisie	saisir	VERB
de	de	ADP
un	un	DET
mouvement	mouvement	NOUN
de	de	ADP
compassion	compassion	NOUN
ou	ou	CCONJ
peut-être	peut-être	ADV
aussi	aussi	ADV
de	de	ADP
curiosité	curiosité	NOUN
.	.	PUNCTsent
Quoique	quoique	SCONJ
le	le	DET
teint	teint	NOUN
de	de	ADP
cette	ce	DET
femme	femme	NOUN
fût	être	AUX
naturellement	naturellement	ADV
livide	livide	ADJ
comme	comme	ADP
celui	celui	PRON
de	de	ADP
une	un	DET
personne	personne	NOUN
vouée	vouer	VERB
à	à	ADP
des	un	DET
austérités	austérité	NOUN
secrètes	secret	ADJ
,	,	PUNCTclause
il	il	PRON
était	être	AUX
facile	facile	ADJ
de	de	ADP
reconnaître	reconnaître	VERB
que	que	SCONJ
une	un	DET
émotion	émotion	NOUN
récente	récent	ADJ
y	y	PRON
répandait	répandre	VERB
une	un	DET
pâleur	pâleur	NOUN
extraordinaire	extraordinaire	ADJ
.	.	PUNCTsent
Sa	son	DET
coiffure	coiffure	NOUN
était	être	AUX
disposée	disposer	VERB
de manière à	de manière à	ADP
cacher	cacher	VERB
ses	son	DET
cheveux	cheveu	NOUN
,	,	PUNCTclause
sans doute	sans doute	ADV
blanchis	blanchi	ADJ
par	par	ADP
l'	le	DET
âge	âge	NOUN
;	;	PUNCTclause
car	car	CCONJ
la	le	DET
propreté	propreté	NOUN
du	du	ADP_DET
collet	collet	NOUN
de	de	ADP
sa	son	DET
robe	robe	NOUN
annonçait	annoncer	VERB
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
portait	porter	VERB
pas	pas	ADV
de	de	ADP
poudre	poudre	NOUN
.	.	PUNCTsent
Ce	ce	PRON
manque de	manque de	ADP
ornement	ornement	NOUN
faisait	faire	VERB
contracter	contracter	VERB
à	à	ADP
sa	son	DET
figure	figure	NOUN
une	un	DET
sorte	sorte	NOUN
de	de	ADP
sévérité	sévérité	NOUN
religieuse	religieux	ADJ
.	.	PUNCTsent
Ses	son	DET
traits	trait	NOUN
étaient	être	AUX
graves	grave	ADJ
et	et	CCONJ
fiers	fier	ADJ
.	.	PUNCTsent
Autrefois	autrefois	ADV
les	le	DET
manières	manière	NOUN
et	et	CCONJ
les	le	DET
habitudes	habitude	NOUN
des	un	ADP_DET
gens	gens	NOUN
de	de	ADP
qualité	qualité	NOUN
étaient	être	AUX
si	si	ADV
différentes	différent	ADJ
de	de	ADP
celles	celle	PRON
des	un	ADP_DET
gens	gens	NOUN
appartenant	appartenir	VERB
aux	au	ADP_DET
autres	autre	ADJ
classes	classe	NOUN
,	,	PUNCTclause
que	que	SCONJ
on	on	PRON
devinait	deviner	VERB
facilement	facilement	ADV
une	un	DET
personne	personne	NOUN
noble	noble	ADJ
.	.	PUNCTsent
Aussi	aussi	ADV
la	le	DET
jeune	jeune	ADJ
femme	femme	NOUN
était	être	AUX
elle	elle	PRON
persuadée	persuader	VERB
que	que	SCONJ
l'	le	DET
inconnue	inconnue	NOUN
était	être	AUX
une	un	DET
ci-devant	ci-devant	ADV
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
avait	avoir	AUX
appartenu	appartenir	VERB
à	à	ADP
la	le	DET
cour	cour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
?…	?…	PUNCTsent
lui	lui	PRON
dit	dire	VERB
elle	elle	PRON
involontairement	involontairement	ADV
et	et	CCONJ
avec	avec	ADP
respect	respect	NOUN
en	en	ADP
oubliant	oublier	VERB
que	que	SCONJ
ce	ce	DET
titre	titre	NOUN
était	être	AUX
proscrit	proscrire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
vieille dame	vieille dame	NOUN
ne	ne	ADV
répondit	répondre	VERB
pas	pas	ADV
.	.	PUNCTsent
Elle	elle	PRON
tenait	tenir	VERB
ses	son	DET
yeux	œil	NOUN
fixés	fixer	VERB
sur	sur	ADP
le	le	DET
vitrage	vitrage	NOUN
de	de	ADP
la	le	DET
boutique	boutique	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
un	un	DET
objet	objet	NOUN
effrayant	effrayant	ADJ
y	y	PRON
eût	avoir	VERB
été	être	AUX
dessiné	dessiner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	PRON
as	avoir	AUX
tu	tu	PRON
,	,	PUNCTclause
citoyenne	citoyen	NOUN
,	,	PUNCTclause
demanda	demander	VERB
le	le	DET
maître	maître	NOUN
du	du	ADP_DET
logis	logis	NOUN
qui	qui	PRON
reparut	reparaître	VERB
aussitôt	aussitôt	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
citoyen	citoyen	NOUN
pâtissier	pâtissier	NOUN
tira	tirer	VERB
la	le	DET
dame	dame	NOUN
de	de	ADP
sa	son	DET
rêverie	rêverie	NOUN
en	en	ADP
lui	lui	PRON
tendant	tendre	VERB
une	un	DET
petite	petit	ADJ
boîte	boîte	NOUN
de	de	ADP
carton	carton	NOUN
couverte	couvrir	VERB
en	en	ADP
papier	papier	NOUN
bleu	bleu	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rien	rien	PRON
,	,	PUNCTclause
rien	rien	PRON
,	,	PUNCTclause
mes	mon	DET
amis	ami	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
elle	elle	PRON
de	de	ADP
une	un	DET
voix	voix	NOUN
douce	doux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
leva	lever	VERB
les	le	DET
yeux	œil	NOUN
sur	sur	ADP
le	le	DET
pâtissier	pâtissier	NOUN
comme	comme	SCONJ
pour	pour	ADP
lui	lui	PRON
jeter	jeter	VERB
un	un	DET
regard	regard	NOUN
de	de	ADP
remerciement	remerciement	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
en	en	ADP
lui	lui	PRON
voyant	voir	VERB
un	un	DET
bonnet	bonnet	NOUN
rouge	rouge	ADJ
sur	sur	ADP
la	le	DET
tête	tête	NOUN
,	,	PUNCTclause
elle	elle	PRON
laissa	laisser	VERB
échapper	échapper	VERB
un	un	DET
cri	cri	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!…	!…	PUNCTsent
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
trahie	trahir	VERB
?…	?…	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
jeune	jeune	ADJ
femme	femme	NOUN
et	et	CCONJ
son	son	DET
mari	mari	NOUN
répondirent	répondre	VERB
par	par	ADP
un	un	DET
geste	geste	NOUN
de	de	ADP
horreur	horreur	NOUN
qui	qui	PRON
fit	faire	VERB
rougir	rougir	VERB
l'	le	DET
inconnue	inconnue	NOUN
,	,	PUNCTclause
soit	soit	CCONJ
de	de	ADP
les	le	DET
avoir	avoir	AUX
soupçonnés	soupçonner	VERB
,	,	PUNCTclause
soit	soit	CCONJ
de	de	ADP
plaisir	plaisir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Excusez	excuser	VERB
moi	moi	PRON
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
alors	alors	ADV
avec	avec	ADP
une	un	DET
douceur	douceur	NOUN
enfantine	enfantin	ADJ
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
tirant	tirer	VERB
un	un	DET
louis	louis	NOUN
de	de	ADP
or	or	NOUN
de	de	ADP
sa	son	DET
poche	poche	NOUN
,	,	PUNCTclause
elle	elle	PRON
le	le:PRON	PRON
présenta	présenter	VERB
au	au	ADP_DET
pâtissier	pâtissier	NOUN
:	:	PUNCTclause
—	—	PUNCTclause
Voici	voici	VERB
le	le	DET
prix	prix	NOUN
convenu	convenir	VERB
,	,	PUNCTclause
ajouta	ajouter	VERB
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
une	un	DET
indigence	indigence	NOUN
que	que	SCONJ
les	le	DET
indigents	indigent	NOUN
savent	savoir	VERB
deviner	deviner	VERB
.	.	PUNCTsent
Le	le	DET
pâtissier	pâtissier	NOUN
et	et	CCONJ
sa	son	DET
femme	femme	NOUN
se	se	PRON
regardèrent	regarder	VERB
et	et	CCONJ
se	se	PRON
montrèrent	montrer	VERB
la	le	DET
vieille	vieux	ADJ
femme	femme	NOUN
en	en	ADP
se	se	PRON
communiquant	communiquer	VERB
une	un	DET
même	même	ADJ
pensée	pensée	NOUN
.	.	PUNCTsent
Ce	ce	DET
louis	louis	NOUN
de	de	ADP
or	or	NOUN
devait	devoir	VERB
être	être	AUX
le	le	DET
dernier	dernier	ADJ
.	.	PUNCTsent
Les	le	DET
mains	main	NOUN
de	de	ADP
la	le	DET
dame	dame	NOUN
tremblaient	trembler	VERB
en	en	ADP
offrant	offrir	VERB
cette	ce	DET
pièce	pièce	NOUN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
contemplait	contempler	VERB
avec	avec	ADP
douleur	douleur	NOUN
et	et	CCONJ
sans	sans	ADP
avarice	avarice	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
elle	elle	PRON
semblait	sembler	VERB
connaître	connaître	VERB
toute	toute	DET
l'	le	DET
étendue	étendue	NOUN
du	du	ADP_DET
sacrifice	sacrifice	NOUN
.	.	PUNCTsent
Le	le	DET
jeûne	jeûne	NOUN
et	et	CCONJ
la	le	DET
misère	misère	NOUN
étaient	être	AUX
gravés	graver	VERB
sur	sur	ADP
cette	ce	DET
figure	figure	NOUN
en	en	ADP
traits	trait	NOUN
aussi	aussi	ADV
lisibles	lisible	ADJ
que	que	SCONJ
ceux	ceux	PRON
de	de	ADP
la	le	DET
peur	peur	NOUN
et	et	CCONJ
des	un	DET
habitudes	habitude	NOUN
ascétiques	ascétique	ADJ
.	.	PUNCTsent
il y a	il y a	VERB
dans	dans	ADP
ses	son	DET
vêtements	vêtement	NOUN
des	un	ADP_DET
vestiges	vestige	NOUN
de	de	ADP
magnificence	magnificence	NOUN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
de	de	ADP
la	le	DET
soie	soie	NOUN
usée	user	VERB
,	,	PUNCTclause
une	un	DET
mante	mante	NOUN
propre	propre	ADJ
,	,	PUNCTclause
quoique	quoique	SCONJ
passée	passer	VERB
,	,	PUNCTclause
des	un	DET
dentelles	dentelle	NOUN
soigneusement	soigneusement	ADV
raccommodées	raccommoder	VERB
;	;	PUNCTclause
enfin	enfin	ADV
les	le	DET
haillons	haillon	NOUN
de	de	ADP
l'	le	DET
opulence	opulence	NOUN
!	!	PUNCTsent
Les	le	DET
marchands	marchand	NOUN
,	,	PUNCTclause
placés	placer	VERB
entre	entre	ADP
la	le	DET
pitié	pitié	NOUN
et	et	CCONJ
l'	le	DET
intérêt	intérêt	NOUN
,	,	PUNCTclause
commencèrent	commencer	VERB
par	par	ADP
soulager	soulager	VERB
leur	leur	DET
conscience	conscience	NOUN
en	en	ADP
paroles	parole	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
citoyenne	citoyen	NOUN
,	,	PUNCTclause
tu	tu	PRON
parais	parer	VERB
bien	bien	ADV
faible	faible	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
aurait	avoir	AUX
elle	elle	PRON
besoin	besoin	NOUN
de	de	ADP
prendre	prendre	VERB
quelque chose	quelque chose	PRON
?	?	PUNCTsent
reprit	reprendre	VERB
la	le	DET
femme	femme	NOUN
en	en	ADP
coupant	couper	VERB
la	le	DET
parole	parole	NOUN
à	à	ADP
son	son	DET
mari	mari	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
avons	avoir	AUX
de	de	ADP
bien	bien	ADV
bon	bon	ADJ
bouillon	bouillon	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
pâtissier	pâtissier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
fait	faire	AUX
si	si	SCONJ
froid	froid	ADJ
,	,	PUNCTclause
madame	madame	NOUN
aura	avoir	AUX
peut-être	peut-être	ADV
été	être	AUX
saisie	saisir	VERB
en	en	ADP
marchant	marcher	VERB
;	;	PUNCTclause
mais	mais	CCONJ
vous	vous	PRON
pouvez	pouvoir	VERB
vous	vous	PRON
reposer	reposer	VERB
ici	ici	ADV
et	et	CCONJ
vous	vous	PRON
chauffer	chauffer	VERB
un	un	DET
peu	peu	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
ne	ne	ADV
sommes	être	AUX
pas	pas	ADV
aussi	aussi	ADV
noirs	noir	ADJ
que	que	SCONJ
le	le	DET
diable	diable	NOUN
,	,	PUNCTclause
se	se	PRON
écria	écrier	VERB
le	le	DET
pâtissier	pâtissier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Gagnée	gagner	VERB
par	par	ADP
l'	le	DET
accent	accent	NOUN
de	de	ADP
bienveillance	bienveillance	NOUN
qui	qui	PRON
animait	animer	VERB
les	le	DET
paroles	parole	NOUN
des	un	ADP_DET
charitables	charitable	ADJ
boutiquiers	boutiquier	NOUN
,	,	PUNCTclause
la	le	DET
dame	dame	NOUN
avoua	avouer	VERB
que	que	SCONJ
elle	elle	PRON
avait	avoir	AUX
été	être	AUX
suivie	suivre	VERB
par	par	ADP
un	un	DET
homme	homme	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
