# columns = TERM LEMMA POS PROB
# identifier = balzac1844FC47
# creator = Balzac, Honoré de
# created = 1844
# modified = 1846
# title = Un homme d’affaires. Études de mœurs. Scènes de la vie parisienne

↵↵	↵↵	PUNCTstruct
et	et	CCONJ
vives	vif	ADJ
à	à	ADP
qui	qui	PRON
l'on	on	PRON
pardonne	pardonner	VERB
tout	tout	ADV
à cause de	à cause de	ADP
sa	son	DET
naïveté	naïveté	NOUN
dans	dans	ADP
la	le	DET
faute	faute	NOUN
et	et	CCONJ
de	de	ADP
son	son	DET
esprit	esprit	NOUN
dans	dans	ADP
le	le	DET
repentir	repentir	NOUN
à	à	ADP
qui	qui	PRON
l'on	on	PRON
dit	dire	VERB
,	,	PUNCTclause
comme	comme	SCONJ
Cardot	Cardot	PROPN
assez	assez	ADV
spirituel	spirituel	ADJ
quoique	quoique	SCONJ
notaire	notaire	NOUN
pour	pour	ADP
le	le	DET
dire	dire	NOUN
:	:	PUNCTclause
—	—	PUNCTclause
Trompe	Trompe	PROPN
moi	moi	PRON
bien	bien	ADV
!	!	PUNCTsent
Ne	ne	ADV
croyez	croire	VERB
pas	pas	ADV
néanmoins	néanmoins	ADV
à	à	ADP
des	un	DET
énormités	énormité	NOUN
.	.	PUNCTsent
Desroches	Desroches	PROPN
et	et	CCONJ
Cardot	Cardot	PROPN
étaient	être	VERB
deux	deux	NUM
trop	trop	ADV
bons	bon	ADJ
enfants	enfant	NOUN
et	et	CCONJ
trop	trop	ADV
vieillis	vieilli	ADJ
dans	dans	ADP
le	le	DET
métier	métier	NOUN
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
être	être	AUX
de	de	ADP
plain-pied	plain-pied	NOUN
avec	avec	ADP
Bixiou	Bixiou	PROPN
,	,	PUNCTclause
Lousteau	Lousteau	PROPN
,	,	PUNCTclause
Nathan	Nathan	PROPN
et	et	CCONJ
le	le	DET
jeune	jeune	ADJ
comte	comte	NOUN
.	.	PUNCTsent
Et	et	CCONJ
ces	ce	DET
messieurs	messieurs	NOUN
,	,	PUNCTclause
ayant	avoir	AUX
eu	avoir	VERB
souvent	souvent	ADV
recours	recours	NOUN
aux	au	ADP_DET
deux	deux	NUM
officiers	officier	NOUN
ministériels	ministériel	ADJ
,	,	PUNCTclause
les	le	DET
connaissaient	connaître	VERB
trop	trop	ADV
pour	pour	ADP
,	,	PUNCTclause
en	en	ADP
style	style	NOUN
lorette	lorette	NOUN
,	,	PUNCTclause
les	le	DET
faire	faire	AUX
poser	poser	VERB
.	.	PUNCTsent
La	le	DET
conversation	conversation	NOUN
,	,	PUNCTclause
parfumée	parfumer	VERB
des	un	DET
odeurs	odeur	NOUN
de	de	ADP
sept	sept	NUM
cigares	cigare	NOUN
,	,	PUNCTclause
fantasque	fantasque	ADJ
d'abord	d'abord	ADV
comme	comme	ADP
une	un	DET
chèvre	chèvre	NOUN
en	en	ADP
liberté	liberté	NOUN
,	,	PUNCTclause
se	se	PRON
arrêta	arrêter	VERB
sur	sur	ADP
la	le	DET
stratégie	stratégie	NOUN
que	que	PRON
crée	créer	VERB
à	à	ADP
Paris	Paris	PROPN
la	le	DET
bataille	bataille	NOUN
incessante	incessant	ADJ
qui	qui	PRON
se	se	PRON
y	y	PRON
livre	livrer	VERB
entre	entre	ADP
les	le	DET
créanciers	créancier	NOUN
et	et	CCONJ
les	le	DET
débiteurs	débiteur	NOUN
.	.	PUNCTsent
Or	or	NOUN
,	,	PUNCTclause
si	si	SCONJ
vous	vous	PRON
daignez	daigner	VERB
vous	vous	PRON
souvenir	souvenir	VERB
de	de	ADP
la	le	DET
vie	vie	NOUN
et	et	CCONJ
des	un	DET
antécédents	antécédent	NOUN
des	un	ADP_DET
convives	convive	NOUN
,	,	PUNCTclause
vous	vous	PRON
eussiez	avoir	VERB
difficilement	difficilement	ADV
trouvé	trouver	VERB
dans	dans	ADP
Paris	Paris	PROPN
des	un	DET
gens	gens	NOUN
plus	plus	ADV
instruits	instruire	VERB
en	en	ADP
cette	ce	DET
matière	matière	NOUN
:	:	PUNCTclause
les	le	DET
uns	un	PRON
émérites	émérite	ADJ
,	,	PUNCTclause
les	le	DET
autres	autre	ADJ
artistes	artiste	NOUN
,	,	PUNCTclause
ils	ils	PRON
ressemblaient	ressembler	VERB
à	à	ADP
des	un	DET
magistrats	magistrat	NOUN
riant	riant	ADJ
avec	avec	ADP
des	un	DET
justiciables	justiciable	ADJ
.	.	PUNCTsent
Une	un	DET
suite	suite	NOUN
de	de	ADP
dessins	dessin	NOUN
faits	faire	VERB
par	par	ADP
Bixiou	Bixiou	PROPN
sur	sur	ADP
Clichy	Clichy	PROPN
avait	avoir	AUX
été	être	AUX
la	le	DET
cause	cause	NOUN
de	de	ADP
la	le	DET
tournure	tournure	NOUN
que	que	PRON
prenait	prendre	VERB
le	le	DET
discours	discours	NOUN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
minuit	minuit	NOUN
.	.	PUNCTsent
Ces	ce	DET
personnages	personnage	NOUN
,	,	PUNCTclause
diversement	diversement	ADV
groupés	grouper	VERB
dans	dans	ADP
le	le	DET
salon	salon	NOUN
autour de	autour de	ADP
une	un	DET
table	table	NOUN
et	et	CCONJ
devant	devant	ADP
le	le	DET
feu	feu	NOUN
,	,	PUNCTclause
se	se	PRON
livraient	livrer	VERB
à	à	ADP
ces	ce	DET
charges	charge	NOUN
qui	qui	PRON
non-seulement	non-seulement	ADV
ne	ne	ADV
sont	être	AUX
compréhensibles	compréhensible	ADJ
et	et	CCONJ
possibles	possible	ADJ
que	que	PRON
à	à	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
qui	qui	PRON
ne	ne	ADV
se	se	PRON
font	faire	VERB
et	et	CCONJ
ne	ne	ADV
peuvent	pouvoir	VERB
être	être	AUX
comprises	comprendre	VERB
que	que	SCONJ
dans	dans	ADP
la	le	DET
zone	zone	NOUN
décrite	décrire	VERB
par	par	ADP
le	le	DET
faubourg	faubourg	NOUN
Montmartre	Montmartre	PROPN
et	et	CCONJ
par	par	ADP
la	le	DET
rue	rue	NOUN
de	de	ADP
la	le	DET
Chaussée-d'Antin	Chaussée-d'Antin	PROPN
,	,	PUNCTclause
entre	entre	ADP
les	le	DET
hauteurs	hauteur	NOUN
de	de	ADP
la	le	DET
rue	rue	NOUN
de	de	ADP
Navarin	Navarin	PROPN
et	et	CCONJ
la	le	DET
ligne	ligne	NOUN
des	un	ADP_DET
boulevards	boulevard	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
dix	dix	NUM
minutes	minute	NOUN
,	,	PUNCTclause
les	le	DET
réflexions	réflexion	NOUN
profondes	profond	ADJ
,	,	PUNCTclause
la	le	DET
grande	grand	ADJ
et	et	CCONJ
la	le	DET
petite	petit	ADJ
morale	morale	NOUN
,	,	PUNCTclause
tous	tout	ADJ
les	le	DET
quolibets	quolibet	NOUN
furent	être	AUX
épuisés	épuiser	VERB
sur	sur	ADP
ce	ce	DET
sujet	sujet	NOUN
,	,	PUNCTclause
épuisé	épuiser	VERB
déjà	déjà	ADV
vers	vers	ADP
1500	1500	NUM
par	par	ADP
Rabelais	Rabelais	PROPN
.	.	PUNCTsent
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
un	un	DET
petit	petit	ADJ
mérite	mérite	NOUN
que	que	ADV
de	de	ADP
renoncer	renoncer	VERB
à	à	ADP
ce	ce	DET
feu	feu	NOUN
de	de	ADP
artifice	artifice	NOUN
terminé	terminer	VERB
par	par	ADP
cette	ce	DET
dernière	dernier	ADJ
fusée	fusée	NOUN
due	devoir	VERB
à	à	ADP
Malaga	Malaga	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tout	tout	PRON
ça	ça	PRON
tourne	tourner	VERB
au	au	ADP_DET
profit	profit	NOUN
des	un	ADP_DET
bottiers	bottier	NOUN
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
quitté	quitter	VERB
une	un	DET
modiste	modiste	NOUN
qui	qui	PRON
me	me	PRON
avait	avoir	AUX
manqué	manquer	VERB
deux	deux	NUM
chapeaux	chapeau	NOUN
.	.	PUNCTsent
La	le	DET
rageuse	rageux	ADJ
est	être	AUX
venue	venir	VERB
vingt-sept	vingt-sept	NUM
fois	fois	NOUN
me	me	PRON
demander	demander	VERB
vingt	vingt	NUM
francs	franc	NOUN
.	.	PUNCTsent
Elle	elle	PRON
ne	ne	ADV
savait	savoir	VERB
pas	pas	ADV
que	que	SCONJ
nous	nous	PRON
ne	ne	ADV
avons	avoir	AUX
jamais	jamais	ADV
vingt	vingt	NUM
francs	franc	NOUN
.	.	PUNCTsent
On	on	PRON
a	avoir	AUX
mille	mille	NUM
francs	franc	NOUN
,	,	PUNCTclause
on	on	PRON
envoie	envoyer	VERB
chercher	chercher	VERB
cinq	cinq	NUM
cents	cents	NUM
francs	franc	NOUN
chez	chez	ADP
son	son	DET
notaire	notaire	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
vingt	vingt	NUM
francs	franc	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
les	le:PRON	PRON
ai	avoir	AUX
jamais	jamais	ADV
eus	avoir	VERB
.	.	PUNCTsent
Ma	mon	DET
cuisinière	cuisinier	NOUN
ou	ou	CCONJ
ma	mon	DET
femme de chambre	femme de chambre	NOUN
ont	avoir	AUX
peut-être	peut-être	ADV
vingt	vingt	NUM
francs	franc	NOUN
à	à	ADP
elles	elles	PRON
deux	deux	NUM
.	.	PUNCTsent
Moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
ai	avoir	VERB
que	que	ADV
du	du	DET
crédit	crédit	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
le	le:PRON	PRON
perdrais	perdre	VERB
en	en	ADP
empruntant	emprunter	VERB
vingt	vingt	NUM
francs	franc	NOUN
.	.	PUNCTsent
Si	si	SCONJ
je	je	PRON
demandais	demander	VERB
vingt	vingt	NUM
francs	franc	NOUN
,	,	PUNCTclause
rien	rien	PRON
ne	ne	ADV
me	me	PRON
distinguerait	distinguer	VERB
plus	plus	ADV
de	de	ADP
mes	mon	DET
confrères	confrère	NOUN
qui	qui	PRON
se	se	PRON
promènent	promener	VERB
sur	sur	ADP
le	le	DET
boulevard	boulevard	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
La	le	DET
modiste	modiste	NOUN
est	être	AUX
elle	elle	PRON
payée	payer	VERB
?	?	PUNCTsent
dit	dire	VERB
la	le	DET
Palférine	Palférine	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ça	ça	PRON
,	,	PUNCTclause
deviens	devenir	VERB
tu	tu	PRON
bête	bête	ADJ
,	,	PUNCTclause
toi	toi	PRON
?	?	PUNCTsent
dit	dire	VERB
elle	elle	PRON
à	à	ADP
la	le	DET
Palférine	Palférine	PROPN
en	en	ADP
clignant	cligner	VERB
,	,	PUNCTclause
elle	elle	PRON
est	être	AUX
venue	venir	VERB
ce	ce	DET
matin	matin	NOUN
pour	pour	ADP
la	le	DET
vingt-septième	vingt-septième	ADJ
fois	fois	NOUN
,	,	PUNCTclause
voilà	voilà	ADP
pourquoi	pourquoi	ADV
je	je	PRON
vous	vous	PRON
en	en	PRON
parle	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
avez	avoir	AUX
vous	vous	PRON
fait	faire	VERB
?	?	PUNCTsent
dit	dire	VERB
Desroches	Desroches	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
pitié	pitié	NOUN
de	de	ADP
elle	elle	PRON
,	,	PUNCTclause
et	et	CCONJ
…	…	PUNCTsent
je	je	PRON
lui	lui	PRON
ai	avoir	AUX
commandé	commander	VERB
le	le	DET
petit	petit	ADJ
chapeau	chapeau	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
fini	finir	VERB
par	par	ADP
inventer	inventer	VERB
pour	pour	ADP
sortir	sortir	VERB
des	un	DET
formes	forme	NOUN
connues	connaître	VERB
.	.	PUNCTsent
Si	si	SCONJ
mademoiselle	mademoiselle	NOUN
Amanda	Amanda	PROPN
réussit	réussir	VERB
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
me	me	PRON
demandera	demander	VERB
plus	plus	ADV
rien	rien	PRON
:	:	PUNCTclause
sa	son	DET
fortune	fortune	NOUN
est	être	AUX
faite	faire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	DET
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
vu	voir	VERB
de plus	de plus	ADV
beau	beau	ADJ
dans	dans	ADP
ce	ce	DET
genre	genre	NOUN
de	de	ADP
lutte	lutte	NOUN
,	,	PUNCTclause
dit	dire	VERB
maître	maître	NOUN
Desroches	Desroches	PROPN
,	,	PUNCTclause
peint	peindre	VERB
,	,	PUNCTclause
selon	selon	ADP
moi	moi	PRON
,	,	PUNCTclause
Paris	Paris	PROPN
,	,	PUNCTclause
pour	pour	ADP
des	un	DET
gens	gens	NOUN
qui	qui	PRON
le	le:PRON	PRON
pratiquent	pratiquer	VERB
,	,	PUNCTclause
beaucoup	beaucoup	ADV
mieux	mieux	ADV
que	que	SCONJ
tous	tout	ADJ
les	le	DET
tableaux	tableau	NOUN
où	où	PRON
l'on	on	PRON
peint	peindre	VERB
toujours	toujours	ADV
un	un	DET
Paris	Paris	PROPN
fantastique	fantastique	ADJ
.	.	PUNCTsent
Vous	vous	PRON
croyez	croire	VERB
être	être	AUX
bien	bien	ADV
forts	fort	ADJ
,	,	PUNCTclause
vous	vous	PRON
autres	autre	PRON
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
en	en	PRON
regardant	regarder	VERB
Nathan	Nathan	PROPN
et	et	CCONJ
Lousteau	Lousteau	PROPN
,	,	PUNCTclause
Bixiou	Bixiou	PROPN
et	et	CCONJ
la	le	DET
Palférine	Palférine	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
sur	sur	ADP
ce	ce	DET
terrain	terrain	NOUN
,	,	PUNCTclause
est	être	AUX
un	un	DET
certain	certain	ADJ
comte	comte	NOUN
qui	qui	PRON
maintenant	maintenant	ADV
se	se	PRON
occupe	occuper	VERB
de	de	ADP
faire	faire	VERB
une	un	DET
fin	fin	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
,	,	PUNCTclause
dans	dans	ADP
son	son	DET
temps	temps	NOUN
,	,	PUNCTclause
a	avoir	AUX
passé	passer	VERB
pour	pour	ADP
le	le	DET
plus	plus	ADV
habile	habile	ADJ
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
adroit	adroit	ADJ
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
renaré	renaré	VERB
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
instruit	instruire	VERB
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
hardi	hardi	ADJ
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
subtil	subtil	ADJ
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
ferme	ferme	ADJ
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
prévoyant	prévoir	VERB
de	de	ADP
tous	tout	ADJ
les	le	DET
corsaires	corsaire	NOUN
à	à	ADP
gants	gant	NOUN
jaunes	jaune	ADJ
,	,	PUNCTclause
à	à	ADP
cabriolet	cabriolet	NOUN
,	,	PUNCTclause
à	à	ADP
belles	beau	ADJ
manières	manière	NOUN
qui	qui	PRON
naviguèrent	naviguer	VERB
,	,	PUNCTclause
naviguent	naviguer	VERB
et	et	CCONJ
navigueront	naviguer	VERB
sur	sur	ADP
la	le	DET
mer	mer	NOUN
orageuse	orageux	ADJ
de	de	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
Sans	sans	ADP
foi	foi	NOUN
ni	ni	CCONJ
loi	loi	NOUN
,	,	PUNCTclause
sa	son	DET
politique	politique	NOUN
privée	privé	ADJ
a	avoir	AUX
été	être	AUX
dirigée	diriger	VERB
par	par	ADP
les	le	DET
principes	principe	NOUN
qui	qui	PRON
dirigent	diriger	VERB
celle	celle	PRON
du	du	ADP_DET
cabinet	cabinet	NOUN
anglais	anglais	ADJ
.	.	PUNCTsent
jusque	jusque	ADP
à	à	ADP
son	son	DET
mariage	mariage	NOUN
,	,	PUNCTclause
sa	son	DET
vie	vie	NOUN
fut	être	AUX
une	un	DET
guerre	guerre	NOUN
continuelle	continuel	ADJ
comme	comme	ADP
celle	celle	PRON
de	de	ADP
…	…	PUNCTsent
Lousteau	Lousteau	PROPN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
je	je	PRON
étais	être	VERB
et	et	CCONJ
suis	être	AUX
encore	encore	ADV
son	son	DET
avoué	avoué	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
la	le	DET
première	premier	ADJ
lettre	lettre	NOUN
de	de	ADP
son	son	DET
nom	nom	NOUN
est	être	AUX
Maxime	Maxime	PROPN
de	de	ADP
Trailles	Trailles	PROPN
,	,	PUNCTclause
dit	dire	VERB
la	le	DET
Palférine	Palférine	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
a	avoir	AUX
d'ailleurs	d'ailleurs	ADV
tout	tout	ADJ
payé	payer	VERB
,	,	PUNCTclause
ne	ne	ADV
a	avoir	AUX
fait	faire	VERB
de	de	ADP
tort	tort	NOUN
à	à	ADP
personne	personne	NOUN
,	,	PUNCTclause
reprit	reprendre	VERB
Desroches	Desroches	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
comme	comme	ADP
le	le:PRON	PRON
disait	dire	VERB
tout	tout	ADV
