# columns = TERM LEMMA POS
# identifier = balzac1839FC24
# creator = Balzac, Honoré de
# created = 1839
# modified = 1844
# title = Pierre Grassou. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
à propos de	à propos de	ADP
une	un	DET
toile	toile	NOUN
.	.	PUNCTsent
Les	le	DET
injures	injure	NOUN
prodiguées	prodiguer	VERB
à	à	ADP
Delacroix	Delacroix	PROPN
,	,	PUNCTclause
à	à	ADP
Ingres	Ingres	PROPN
,	,	PUNCTclause
ne	ne	ADV
ont	avoir	AUX
pas	pas	ADV
moins	moins	ADV
servi	servir	VERB
leur	leur	DET
renommée	renommée	NOUN
que	que	SCONJ
les	le	DET
éloges	éloge	NOUN
et	et	CCONJ
le	le	DET
fanatisme	fanatisme	NOUN
de	de	ADP
leurs	leur	DET
adhérents	adhérent	NOUN
.	.	PUNCTsent
Aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
ni	ni	CCONJ
la	le	DET
foule	foule	NOUN
ni	ni	CCONJ
la	le	DET
Critique	critique	NOUN
ne	ne	ADV
se	se	PRON
passionneront	passionner	VERB
plus	plus	ADV
pour	pour	ADP
les	le	DET
produits	produit	NOUN
de	de	ADP
ce	ce	DET
bazar	bazar	NOUN
.	.	PUNCTsent
Obligées	obliger	VERB
de	de	ADP
faire	faire	VERB
le	le	DET
choix	choix	NOUN
dont	dont	PRON
se	se	PRON
chargeait	charger	VERB
autrefois	autrefois	ADV
le	le	DET
Jury	Jury	PROPN
de	de	ADP
examen	examen	NOUN
,	,	PUNCTclause
leur	leur	DET
attention	attention	NOUN
se	se	PRON
lasse	lasser	VERB
à	à	ADP
ce	ce	DET
travail	travail	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
quand	quand	SCONJ
il	il	PRON
est	être	AUX
achevé	achever	VERB
,	,	PUNCTclause
l'	le	DET
Exposition	exposition	NOUN
se	se	PRON
ferme	fermer	VERB
.	.	PUNCTsent
avant	avant	ADP
1817	1817	NUM
,	,	PUNCTclause
les	le	DET
tableaux	tableau	NOUN
admis	admettre	VERB
ne	ne	ADV
dépassaient	dépasser	VERB
jamais	jamais	ADV
les	le	DET
deux	deux	NUM
premières	premier	ADJ
colonnes	colonne	NOUN
de	de	ADP
la	le	DET
longue	long	ADJ
galerie	galerie	NOUN
où	où	PRON
sont	être	AUX
les	le	DET
œuvres	œuvre	NOUN
des	un	ADP_DET
vieux	vieux	ADJ
maîtres	maître	NOUN
,	,	PUNCTclause
et	et	CCONJ
cette	ce	DET
année	année	NOUN
ils	ils	PRON
remplirent	remplir	VERB
tout	tout	ADV
cet	ce	DET
espace	espace	NOUN
,	,	PUNCTclause
au	au	ADP_DET
grand	grand	ADJ
étonnement	étonnement	NOUN
du	du	ADP_DET
public	public	NOUN
.	.	PUNCTsent
Le	le	DET
Genre	Genre	PROPN
historique	historique	ADJ
,	,	PUNCTclause
le	le	DET
Genre	Genre	PROPN
proprement dit	proprement dit	ADV
,	,	PUNCTclause
les	le	DET
tableaux	tableau	NOUN
de	de	ADP
chevalet	chevalet	NOUN
,	,	PUNCTclause
le	le	DET
Paysage	Paysage	PROPN
,	,	PUNCTclause
les	le	DET
Fleurs	fleur	NOUN
,	,	PUNCTclause
les	le	DET
Animaux	animal	NOUN
,	,	PUNCTclause
et	et	CCONJ
l'	le	DET
Aquarelle	Aquarelle	PROPN
,	,	PUNCTclause
ces	ce	DET
huit	huit	NUM
spécialités	spécialité	NOUN
ne	ne	ADV
sauraient	savoir	VERB
offrir	offrir	VERB
plus	plus	ADV
de	de	ADP
vingt	vingt	NUM
tableaux	tableau	NOUN
dignes	digne	ADJ
des	un	ADP_DET
regards	regard	NOUN
du	du	ADP_DET
public	public	NOUN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
peut	pouvoir	VERB
accorder	accorder	VERB
son	son	DET
attention	attention	NOUN
à	à	ADP
une	un	DET
plus	plus	ADV
grande	grand	ADJ
quantité	quantité	NOUN
de	de	ADP
œuvres	œuvre	NOUN
.	.	PUNCTsent
Plus	plus	ADV
le	le	DET
nombre	nombre	NOUN
des	un	ADP_DET
artistes	artiste	NOUN
allait	aller	VERB
croissant	croître	VERB
,	,	PUNCTclause
plus	plus	ADV
le	le	DET
Jury	Jury	PROPN
de	de	ADP
admission	admission	NOUN
devait	devoir	VERB
se	se	PRON
montrer	montrer	VERB
difficile	difficile	ADJ
.	.	PUNCTsent
Tout	tout	PRON
fut	être	AUX
perdu	perdre	VERB
dès que	dès que	SCONJ
le	le	DET
Salon	Salon	PROPN
se	se	PRON
continua	continuer	VERB
dans	dans	ADP
la	le	DET
Galerie	galerie	NOUN
.	.	PUNCTsent
Le	le	DET
Salon	Salon	PROPN
aurait	avoir	AUX
dû	devoir	VERB
rester	rester	VERB
un	un	DET
lieu	lieu	NOUN
déterminé	déterminé	ADJ
,	,	PUNCTclause
restreint	restreindre	VERB
,	,	PUNCTclause
de	de	ADP
proportions	proportion	NOUN
inflexibles	inflexible	ADJ
,	,	PUNCTclause
où	où	PRON
chaque	chaque	DET
Genre	genre	NOUN
eût	avoir	AUX
exposé	exposer	VERB
ses	son	DET
chefs-d'œuvre	chef-d'œuvre	NOUN
.	.	PUNCTsent
Une	un	DET
expérience	expérience	NOUN
de	de	ADP
dix	dix	NUM
ans	an	NOUN
a	avoir	AUX
prouvé	prouver	VERB
la	le	DET
bonté	bonté	NOUN
de	de	ADP
l'	le	DET
ancienne	ancien	ADJ
institution	institution	NOUN
.	.	PUNCTsent
au lieu de	au lieu de	ADP
un	un	DET
tournoi	tournoi	NOUN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
une	un	DET
émeute	émeute	NOUN
;	;	PUNCTclause
au lieu de	au lieu de	ADP
une	un	DET
Exposition	exposition	NOUN
glorieuse	glorieux	ADJ
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
un	un	DET
tumultueux	tumultueux	ADJ
bazar	bazar	NOUN
;	;	PUNCTclause
au	au	ADP_DET
lieu	lieu	NOUN
du	du	ADP_DET
choix	choix	NOUN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
la	le	DET
totalité	totalité	NOUN
.	.	PUNCTsent
que	que	SCONJ
arrive	arriver	VERB
il	il	PRON
?	?	PUNCTsent
Le	le:PRON	PRON
grand	grand	ADJ
artiste	artiste	NOUN
y	y	PRON
perd	perdre	VERB
.	.	PUNCTsent
Le	le	DET
Café	café	NOUN
Turc	Turc	PROPN
,	,	PUNCTclause
les	le	DET
Enfants	enfant	NOUN
à	à	ADP
la	le	DET
fontaine	fontaine	NOUN
,	,	PUNCTclause
le	le	DET
Supplice	supplice	NOUN
des	un	ADP_DET
crochets	crochet	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
Joseph	Joseph	PROPN
de	de	ADP
Decamps	Decamps	PROPN
eussent	avoir	VERB
plus	plus	ADV
profité	profiter	VERB
à	à	ADP
sa	son	DET
gloire	gloire	NOUN
,	,	PUNCTclause
tous	tous	PRON
quatre	quatre	NUM
dans	dans	ADP
le	le	DET
grand	grand	ADJ
Salon	Salon	PROPN
,	,	PUNCTclause
exposés	exposer	VERB
avec	avec	ADP
les	le	DET
cent	cent	NUM
bons	bon	ADJ
tableaux	tableau	NOUN
de	de	ADP
cette	ce	DET
année	année	NOUN
,	,	PUNCTclause
que	que	SCONJ
ses	son	DET
vingt	vingt	NUM
toiles	toile	NOUN
perdues	perdre	VERB
parmi	parmi	ADP
trois	trois	NUM
mille	mille	NUM
œuvres	œuvre	NOUN
,	,	PUNCTclause
confondues	confondre	VERB
dans	dans	ADP
six	six	NUM
galeries	galerie	NOUN
.	.	PUNCTsent
Par	par	ADP
une	un	DET
étrange	étrange	ADJ
bizarrerie	bizarrerie	NOUN
,	,	PUNCTclause
depuis	depuis	ADP
que	que	SCONJ
la	le	DET
porte	porte	NOUN
se	se	PRON
est	être	AUX
ouverte	ouvrir	VERB
à	à	ADP
tout le monde	tout le monde	NOUN
,	,	PUNCTclause
on	on	PRON
a	avoir	AUX
beaucoup	beaucoup	ADV
parlé	parler	VERB
de	de	ADP
génies	génie	NOUN
méconnus	méconnu	ADJ
.	.	PUNCTsent
Quand	quand	SCONJ
,	,	PUNCTclause
douze	douze	NUM
années	année	NOUN
auparavant	auparavant	ADV
,	,	PUNCTclause
la	le	DET
Courtisane	Courtisane	PROPN
de	de	ADP
Ingres	Ingres	PROPN
et	et	CCONJ
celle	celle	PRON
de	de	ADP
Sigalon	Sigalon	PROPN
,	,	PUNCTclause
la	le	DET
Méduse	Méduse	PROPN
de	de	ADP
Géricault	Géricault	PROPN
,	,	PUNCTclause
le	le	DET
Massacre	massacre	NOUN
de	de	ADP
Scio	Scio	PROPN
de	de	ADP
Delacroix	Delacroix	PROPN
,	,	PUNCTclause
le	le	DET
Baptême	baptême	NOUN
de	de	ADP
Henri	Henri	PROPN
IV	IV	NUM
par	par	ADP
Eugène	Eugène	PROPN
Deveria	Deveria	PROPN
,	,	PUNCTclause
admis	admettre	VERB
par	par	ADP
des	un	DET
célébrités	célébrité	NOUN
taxées	taxé	ADJ
de	de	ADP
jalousie	jalousie	NOUN
,	,	PUNCTclause
apprenaient	apprendre	VERB
au	au	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
malgré	malgré	ADP
les	le	DET
dénégations	dénégation	NOUN
de	de	ADP
la	le	DET
Critique	critique	NOUN
,	,	PUNCTclause
l'	le	DET
existence	existence	NOUN
de	de	ADP
palettes	palette	NOUN
jeunes	jeune	ADJ
et	et	CCONJ
ardentes	ardent	ADJ
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
se	se	PRON
élevait	élever	VERB
aucune	aucun	DET
plainte	plainte	NOUN
.	.	PUNCTsent
Maintenant	maintenant	ADV
que	que	SCONJ
le	le	DET
moindre	moindre	ADJ
gâcheur	gâcheur	NOUN
de	de	ADP
toile	toile	NOUN
peut	pouvoir	VERB
envoyer	envoyer	VERB
son	son	DET
œuvre	œuvre	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
est	être	AUX
question	question	NOUN
que	que	SCONJ
de	de	ADP
gens	gens	NOUN
incompris	incompris	ADJ
.	.	PUNCTsent
Là	là	ADV
où	où	PRON
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
plus	plus	ADV
jugement	jugement	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
plus	plus	ADV
de	de	ADP
chose	chose	NOUN
jugée	juger	VERB
.	.	PUNCTsent
quoi que	quoi que	SCONJ
fassent	faire	VERB
les	le	DET
artistes	artiste	NOUN
,	,	PUNCTclause
ils	ils	PRON
reviendront	revenir	VERB
à	à	ADP
l'	le	DET
examen	examen	NOUN
qui	qui	PRON
recommande	recommander	VERB
leurs	leur	DET
œuvres	œuvre	NOUN
aux	au	ADP_DET
admirations	admiration	NOUN
de	de	ADP
la	le	DET
foule	foule	NOUN
pour	pour	ADP
laquelle	laquelle	PRON
ils	ils	PRON
travaillent	travailler	VERB
.	.	PUNCTsent
Sans	sans	ADP
le	le	DET
choix	choix	NOUN
de	de	ADP
l'	le	DET
Académie	académie	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
y	y	PRON
aura	avoir	VERB
plus	plus	ADV
de	de	ADP
Salon	Salon	PROPN
,	,	PUNCTclause
et	et	CCONJ
sans	sans	ADP
Salon	Salon	PROPN
l'	le	DET
Art	art	NOUN
peut	pouvoir	VERB
périr	périr	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Depuis	depuis	ADP
que	que	SCONJ
le	le	DET
livret	livret	NOUN
est	être	AUX
devenu	devenir	VERB
un	un	DET
gros	gros	ADJ
livre	livre	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
y	y	PRON
produit	produire	VERB
bien	bien	ADV
des	un	DET
noms	nom	NOUN
qui	qui	PRON
restent	rester	VERB
dans	dans	ADP
leur	leur	DET
obscurité	obscurité	NOUN
,	,	PUNCTclause
malgré	malgré	ADP
la	le	DET
liste	liste	NOUN
de	de	ADP
dix	dix	NUM
ou	ou	CCONJ
douze	douze	NUM
tableaux	tableau	NOUN
qui	qui	PRON
les	le:PRON	PRON
accompagne	accompagner	VERB
.	.	PUNCTsent
Parmi	parmi	ADP
ces	ce	DET
noms	nom	NOUN
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
inconnu	inconnu	ADJ
peut-être	peut-être	ADV
est	être	AUX
celui	celui	PRON
de	de	ADP
un	un	DET
artiste	artiste	NOUN
nommé	nommer	VERB
Pierre	Pierre	PROPN
Grassou	Grassou	PROPN
,	,	PUNCTclause
venu	venir	VERB
de	de	ADP
Fougères	Fougères	PROPN
,	,	PUNCTclause
appelé	appeler	VERB
plus	plus	ADV
simplement	simplement	ADV
Fougères	fougère	ADJ
dans	dans	ADP
le	le	DET
monde	monde	NOUN
artiste	artiste	ADJ
,	,	PUNCTclause
qui	qui	PRON
tient	tenir	VERB
aujourd'hui	aujourd'hui	ADV
beaucoup de	beaucoup de	DET
place	place	NOUN
au	au	ADP_DET
soleil	soleil	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
suggère	suggérer	VERB
les	le	DET
amères	amer	ADJ
réflexions	réflexion	NOUN
par	par	ADP
lesquelles	lesquelles	PRON
commence	commencer	VERB
l'	le	DET
esquisse	esquisse	NOUN
de	de	ADP
sa	son	DET
vie	vie	NOUN
,	,	PUNCTclause
applicable	applicable	ADJ
à	à	ADP
quelques	quelque	DET
autres	autre	ADJ
individus	individu	NOUN
de	de	ADP
la	le	DET
Tribu	tribu	NOUN
des	un	ADP_DET
Artistes	artiste	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
1832	1832	NUM
,	,	PUNCTclause
Fougères	Fougères	PROPN
demeurait	demeurer	VERB
rue	rue	NOUN
de	de	ADP
Navarin	Navarin	PROPN
,	,	PUNCTclause
au	au	ADP_DET
4e	4e	ADJ
étage	étage	NOUN
de	de	ADP
une	un	PRON
de	de	ADP
ces	ce	DET
maisons	maison	NOUN
étroites	étroit	ADJ
et	et	CCONJ
hautes	haut	ADJ
qui	qui	PRON
ressemblent	ressembler	VERB
à	à	ADP
l'	le	DET
obélisque	obélisque	NOUN
de	de	ADP
Luxor	Luxor	PROPN
,	,	PUNCTclause
qui	qui	PRON
ont	avoir	AUX
une	un	DET
allée	allée	NOUN
,	,	PUNCTclause
un	un	DET
petit	petit	ADJ
escalier	escalier	NOUN
obscur	obscur	ADJ
à	à	ADP
tournants	tournant	NOUN
dangereux	dangereux	ADJ
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
comportent	comporter	VERB
pas	pas	ADV
plus	plus	ADV
de	de	ADP
trois	trois	NUM
fenêtres	fenêtre	NOUN
à	à	ADP
chaque	chaque	DET
étage	étage	NOUN
,	,	PUNCTclause
et	et	CCONJ
à	à	ADP
l'	le	DET
intérieur	intérieur	NOUN
desquelles	desquelles	PRON
se	se	PRON
trouve	trouver	VERB
une	un	DET
cour	cour	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
,	,	PUNCTclause
pour	pour	ADP
parler	parler	VERB
plus	plus	ADV
exactement	exactement	ADV
,	,	PUNCTclause
un	un	DET
puits	puits	NOUN
carré	carré	ADJ
.	.	PUNCTsent
Au-dessus	au-dessus	ADV
des	un	ADP_DET
trois	trois	NUM
ou	ou	CCONJ
quatre	quatre	NUM
pièces	pièce	NOUN
de	de	ADP
l'	le	DET
appartement	appartement	NOUN
occupé	occuper	VERB
par	par	ADP
Grassou	Grassou	PROPN
de	de	ADP
Fougères	Fougères	PROPN
se	se	PRON
étendait	étendre	VERB
son	son	DET
atelier	atelier	NOUN
,	,	PUNCTclause
qui	qui	PRON
regardait	regarder	VERB
Montmartre	Montmartre	PROPN
.	.	PUNCTsent
l'	le	DET
atelier	atelier	NOUN
peint	peindre	VERB
en	en	ADP
fond	fond	NOUN
de	de	ADP
briques	brique	NOUN
,	,	PUNCTclause
le	le	DET
carreau	carreau	NOUN
soigneusement	soigneusement	ADV
mis	mettre	VERB
en	en	ADP
couleur	couleur	NOUN
brune	brun	ADJ
et	et	CCONJ
frotté	frotter	VERB
,	,	PUNCTclause
chaque	chaque	DET
chaise	chaise	NOUN
munie	munir	VERB
de	de	ADP
un	un	DET
petit	petit	ADJ
tapis	tapis	NOUN
bordé	border	VERB
,	,	PUNCTclause
le	le	DET
canapé	canapé	NOUN
,	,	PUNCTclause
simple	simple	ADJ
d'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
mais	mais	CCONJ
propre	propre	ADJ
comme	comme	ADP
celui	celui	PRON
de	de	ADP
la	le	DET
chambre à coucher	chambre à coucher	NOUN
de	de	ADP
une	un	DET
épicière	épicier	NOUN
,	,	PUNCTclause
là	là	ADV
,	,	PUNCTclause
tout	tout	PRON
dénotait	dénoter	VERB
la	le	DET
vie	vie	NOUN
méticuleuse	méticuleux	ADJ
des	un	ADP_DET
petits	petit	ADJ
esprits	esprit	NOUN
et	et	CCONJ
le	le	DET
soin	soin	NOUN
de	de	ADP
un	un	DET
homme	homme	NOUN
pauvre	pauvre	ADJ
.	.	PUNCTsent
il y a	il y a	VERB
une	un	DET
commode	commode	NOUN
pour	pour	ADP
serrer	serrer	VERB
les	le	DET
effets	effet	NOUN
de	de	ADP
atelier	atelier	NOUN
,	,	PUNCTclause
une	un	DET
table	table	NOUN
à	à	ADP
déjeuner	déjeuner	NOUN
,	,	PUNCTclause
un	un	DET
buffet	buffet	NOUN
,	,	PUNCTclause
un	un	DET
secrétaire	secrétaire	NOUN
,	,	PUNCTclause
enfin	enfin	ADV
les	le	DET
ustensiles	ustensile	NOUN
nécessaires	nécessaire	ADJ
aux	au	ADP_DET
peintres	peintre	NOUN
,	,	PUNCTclause
tous	tout	ADJ
rangés	ranger	VERB
et	et	CCONJ
propres	propre	ADJ
.	.	PUNCTsent
Le	le	DET
poêle	poêle	NOUN
participait	participer	VERB
à	à	ADP
ce	ce	DET
système	système	NOUN
de	de	ADP
soin	soin	NOUN
hollandais	hollandais	ADJ
,	,	PUNCTclause
d'autant	d'autant	ADP
plus	plus	ADV
visible	visible	ADJ
que	que	SCONJ
la	le	DET
lumière	lumière	NOUN
pure	pur	ADJ
et	et	CCONJ
peu	peu	ADV
changeante	changeant	ADJ
du	du	ADP_DET
nord	nord	NOUN
inondait	inonder	VERB
de	de	ADP
son	son	DET
jour	jour	NOUN
net	net	ADJ
et	et	CCONJ
froid	froid	ADJ
cette	ce	DET
immense	immense	ADJ
pièce	pièce	NOUN
.	.	PUNCTsent
Fougères	fougère	NOUN
,	,	PUNCTclause
simple	simple	ADJ
peintre	peintre	NOUN
de	de	ADP
Genre	Genre	PROPN
,	,	PUNCTclause
ne	ne	ADV
a	avoir	VERB
pas	pas	ADV
besoin	besoin	NOUN
des	un	ADP_DET
machines	machine	NOUN
énormes	énorme	ADJ
qui	qui	PRON
ruinent	ruiner	VERB
les	le	DET
peintres	peintre	NOUN
de	de	ADP
Histoire	histoire	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
se	se	PRON
est	être	AUX
jamais	jamais	ADV
reconnu	reconnaître	VERB
de	de	ADP
facultés	faculté	NOUN
assez	assez	ADV
complètes	complet	ADJ
pour	pour	ADP
aborder	aborder	VERB
la	le	DET
haute	haut	ADJ
peinture	peinture	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
en	en	PRON
tenait	tenir	VERB
encore	encore	ADV
au	au	ADP_DET
Chevalet	Chevalet	PROPN
.	.	PUNCTsent
Au	au	ADP_DET
commencement	commencement	NOUN
du	du	ADP_DET
mois	mois	NOUN
de	de	ADP
décembre	décembre	NOUN
de	de	ADP
cette	ce	DET
année	année	NOUN
,	,	PUNCTclause
époque	époque	NOUN
à	à	ADP
laquelle	laquelle	PRON
les	le	DET
bourgeois	bourgeois	NOUN
de	de	ADP
Paris	Paris	PROPN
conçoivent	concevoir	VERB
périodiquement	périodiquement	ADV
l'	le	DET
idée	idée	NOUN
burlesque	burlesque	ADJ
de	de	ADP
perpétuer	perpétuer	VERB
leur	leur	DET
figure	figure	NOUN
,	,	PUNCTclause
déjà	déjà	ADV
bien	bien	ADV
encombrante	encombrant	ADJ
par	par	ADP
elle-même	elle-même	PRON
,	,	PUNCTclause
Pierre	Pierre	PROPN
Grassou	Grassou	PROPN
,	,	PUNCTclause
levé	lever	VERB
de bonne heure	de bonne heure	ADV
,	,	PUNCTclause
préparait	préparer	VERB
sa	son	DET
palette	palette	NOUN
,	,	PUNCTclause
allumait	allumer	VERB
son	son	DET
poêle	poêle	NOUN
,	,	PUNCTclause
mangeait	manger	VERB
une	un	DET
flûte	flûte	NOUN
trempée	tremper	VERB
dans	dans	ADP
du	du	DET
lait	lait	NOUN
,	,	PUNCTclause
et	et	CCONJ
attendait	attendre	VERB
,	,	PUNCTclause
pour	pour	ADP
travailler	travailler	VERB
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
dégel	dégel	NOUN
de	de	ADP
ses	son	DET
carreaux	carreau	NOUN
laissât	laisser	VERB
passer	passer	VERB
le	le	DET
jour	jour	NOUN
.	.	PUNCTsent
Il	il	PRON
faisait	faire	VERB
sec	sec	ADJ
et	et	CCONJ
beau	beau	ADJ
.	.	PUNCTsent
En	en	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
l'	le	DET
artiste	artiste	NOUN
qui	qui	PRON
mangeait	manger	VERB
avec	avec	ADP
cet	ce	DET
air	air	NOUN
patient	patient	ADJ
et	et	CCONJ
résigné	résigner	VERB
qui	qui	PRON
dit	dire	VERB
tant de	tant de	DET
choses	chose	NOUN
,	,	PUNCTclause
reconnut	reconnaître	VERB
le	le	DET
pas	pas	NOUN
de	de	ADP
un	un	DET
homme	homme	NOUN
qui	qui	PRON
avait	avoir	AUX
eu	avoir	VERB
sur	sur	ADP
sa	son	DET
vie	vie	NOUN
l'	le	DET
influence	influence	NOUN
que	que	SCONJ
ces	ce	DET
sortes	sorte	NOUN
de	de	ADP
gens	gens	NOUN
ont	avoir	VERB
sur	sur	ADP
celle	celle	PRON
de	de	ADP
presque	presque	ADV
tous	tout	ADJ
les	le	DET
artistes	artiste	NOUN
,	,	PUNCTclause
de	de	ADP
Élias	Élias	PROPN
Magus	Magus	PROPN
,	,	PUNCTclause
un	un	DET
marchand	marchand	NOUN
de	de	ADP
tableaux	tableau	NOUN
,	,	PUNCTclause
l'	le	DET
usurier	usurier	NOUN
des	un	ADP_DET
toiles	toile	NOUN
.	.	PUNCTsent
en effet	en effet	ADV
Élias	Élias	PROPN
Magus	Magus	PROPN
surprit	surprendre	VERB
le	le	DET
peintre	peintre	NOUN
au moment où	au moment où	ADP
,	,	PUNCTclause
dans	dans	ADP
cet	ce	DET
atelier	atelier	NOUN
si	si	SCONJ
propre	propre	ADJ
,	,	PUNCTclause
il	il	PRON
allait	aller	VERB
se	se	PRON
mettre	mettre	VERB
à	à	ADP
l'	le	DET
ouvrage	ouvrage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
vous	vous	PRON
va	aller	VERB
,	,	PUNCTclause
vieux	vieux	ADJ
coquin	coquin	NOUN
?	?	PUNCTsent
lui	lui	PRON
dit	dire	VERB
le	le	DET
peintre	peintre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Fougères	fougère	NOUN
avait	avoir	AUX
eu	avoir	VERB
la	le	DET
croix	croix	NOUN
,	,	PUNCTclause
Élias	Élias	PROPN
lui	lui	PRON
achetait	acheter	VERB
ses	son	DET
tableaux	tableau	NOUN
deux	deux	NUM
ou	ou	CCONJ
trois	trois	NUM
cents	cents	NUM
francs	franc	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
donnait	donner	VERB
des	un	ADP_DET
airs	air	NOUN
très-artistes	très-artistes	PUNCT
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le	DET
commerce	commerce	NOUN
va	aller	VERB
mal	mal	ADV
,	,	PUNCTclause
répondit	répondre	VERB
Élias	Élias	PROPN
.	.	PUNCTsent
Vous	vous	PRON
avez	avoir	VERB
tous	tous	PRON
des	un	ADP_DET
prétentions	prétention	NOUN
,	,	PUNCTclause
vous	vous	PRON
parlez	parler	VERB
maintenant	maintenant	ADV
de	de	ADP
deux	deux	NUM
cents	cents	NUM
francs	franc	NOUN
dès que	dès que	SCONJ
