# columns = TERM LEMMA POS PROB
# identifier = balzac1834FC73
# creator = Balzac, Honoré de
# created = 1834
# modified = 1845
# title = Les Marana. Études philosophiques

↵↵	↵↵	PUNCTstruct
promesse	promesse	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
Bianchi	Bianchi	PROPN
le	le:PRON	PRON
fit	faire	VERB
souvenir	souvenir	NOUN
de	de	ADP
Bianchi	Bianchi	PROPN
.	.	PUNCTsent
l'	le	DET
enragé	enragé	NOUN
capitaine	capitaine	NOUN
planta	planter	VERB
,	,	PUNCTclause
le	le	DET
premier	premier	ADJ
,	,	PUNCTclause
le	le	DET
drapeau	drapeau	NOUN
français	français	ADJ
sur	sur	ADP
la	le	DET
muraille	muraille	NOUN
,	,	PUNCTclause
et	et	CCONJ
y	y	PRON
fut	être	AUX
tué	tuer	VERB
par	par	ADP
un	un	DET
moine	moine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cette	ce	DET
digression	digression	NOUN
historique	historique	ADJ
était	être	AUX
nécessaire	nécessaire	ADJ
pour	pour	ADP
expliquer	expliquer	VERB
comment	comment	ADV
le	le	DET
6	6	NUM
e	e	NOUN
de	de	ADP
ligne	ligne	NOUN
entra	entrer	VERB
le	le	DET
premier	premier	ADJ
dans	dans	ADP
Tarragone	Tarragone	PROPN
,	,	PUNCTclause
et	et	CCONJ
pourquoi	pourquoi	ADV
le	le	DET
désordre	désordre	NOUN
,	,	PUNCTclause
assez	assez	ADV
naturel	naturel	ADJ
dans	dans	ADP
une	un	DET
ville	ville	NOUN
emportée	emporter	VERB
de	de	ADP
vive	vif	ADJ
force	force	NOUN
,	,	PUNCTclause
dégénéra	dégénérer	VERB
si	si	SCONJ
promptement	promptement	ADV
en	en	ADP
un	un	DET
léger	léger	ADJ
pillage	pillage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
régiment	régiment	NOUN
comptait	compter	VERB
deux	deux	NUM
officiers	officier	NOUN
peu	peu	ADV
remarquables	remarquable	ADJ
parmi	parmi	ADP
ces	ce	DET
hommes	homme	NOUN
de	de	ADP
fer	fer	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
qui	qui	PRON
joueront	jouer	VERB
néanmoins	néanmoins	ADV
dans	dans	ADP
cette	ce	DET
histoire	histoire	NOUN
,	,	PUNCTclause
par	par	ADP
juxtaposition	juxtaposition	NOUN
,	,	PUNCTclause
un	un	DET
rôle	rôle	NOUN
assez	assez	ADV
important	important	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
premier	premier	ADJ
,	,	PUNCTclause
capitaine	capitaine	NOUN
de	de	ADP
habillement	habillement	NOUN
,	,	PUNCTclause
officier	officier	NOUN
moitié	moitié	NOUN
militaire	militaire	ADJ
,	,	PUNCTclause
moitié	moitié	NOUN
civil	civil	ADJ
,	,	PUNCTclause
passait	passer	VERB
,	,	PUNCTclause
en	en	ADP
style	style	NOUN
soldatesque	soldatesque	ADJ
,	,	PUNCTclause
pour	pour	ADP
faire	faire	VERB
ses	son	DET
affaires	affaire	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
prétendait	prétendre	VERB
brave	brave	ADJ
,	,	PUNCTclause
se	se	PRON
vantait	vanter	VERB
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
monde	monde	NOUN
,	,	PUNCTclause
de	de	ADP
appartenir	appartenir	VERB
au	au	ADP_DET
6	6	NUM
e	e	NOUN
de	de	ADP
ligne	ligne	NOUN
,	,	PUNCTclause
savait	savoir	VERB
relever	relever	VERB
sa	son	DET
moustache	moustache	NOUN
en	en	ADP
homme	homme	NOUN
prêt à	prêt à	ADP
tout	tout	PRON
briser	briser	VERB
,	,	PUNCTclause
mais	mais	CCONJ
ses	son	DET
camarades	camarade	NOUN
ne	ne	ADV
l'	le	DET
estimaient	estimer	VERB
point	point	NOUN
.	.	PUNCTsent
Sa	son	DET
fortune	fortune	NOUN
le	le	DET
rendait	rendre	VERB
prudent	prudent	ADJ
.	.	PUNCTsent
Aussi	aussi	ADV
l'	le	DET
avait	avoir	AUX
on	on	PRON
,	,	PUNCTclause
pour	pour	ADP
deux	deux	NUM
raisons	raison	NOUN
,	,	PUNCTclause
surnommé	surnommer	VERB
le	le	DET
capitaine	capitaine	NOUN
des	un	ADP_DET
corbeaux	corbeau	NOUN
.	.	PUNCTsent
D'abord	d'abord	ADV
,	,	PUNCTclause
il	il	PRON
sentait	sentir	VERB
la	le	DET
poudre	poudre	NOUN
de	de	ADP
une	un	DET
lieue	lieue	NOUN
,	,	PUNCTclause
et	et	CCONJ
fuyait	fuir	VERB
les	le	DET
coup de fusil	coup de fusil	NOUN
à	à	ADP
tire-d'aile	tire-d'aile	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
ce	ce	PRON
sobriquet	sobriquet	NOUN
renfermait	renfermer	VERB
encore	encore	ADV
un	un	DET
innocent	innocent	ADJ
calembour	calembour	NOUN
militaire	militaire	ADJ
,	,	PUNCTclause
que	que	SCONJ
du reste	du reste	ADV
il	il	PRON
méritait	mériter	VERB
,	,	PUNCTclause
et	et	CCONJ
dont	dont	PRON
un	un	DET
autre	autre	PRON
se	se	PRON
serait	être	AUX
fait	faire	AUX
gloire	gloire	NOUN
.	.	PUNCTsent
Le	le	DET
capitaine	capitaine	NOUN
Montefiore	Montefiore	PROPN
,	,	PUNCTclause
de	de	ADP
l'	le	DET
illustre	illustre	ADJ
famille	famille	NOUN
de	de	ADP
Montefiore	Montefiore	PROPN
de	de	ADP
Milan	Milan	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
à	à	ADP
qui	qui	PRON
les	le	DET
lois	loi	NOUN
du	du	ADP_DET
royaume	royaume	NOUN
de	de	ADP
Italie	Italie	PROPN
interdisaient	interdire	VERB
de	de	ADP
porter	porter	VERB
son	son	DET
titre	titre	NOUN
,	,	PUNCTclause
était	être	AUX
un	un	DET
des	un	ADP_DET
plus	plus	ADV
jolis	joli	ADJ
garçons	garçon	NOUN
de	de	ADP
l'	le	DET
armée	armée	NOUN
.	.	PUNCTsent
Cette	ce	DET
beauté	beauté	NOUN
pouvait	pouvoir	VERB
être	être	AUX
une	un	DET
des	un	ADP_DET
causes	cause	NOUN
occultes	occulte	ADJ
de	de	ADP
sa	son	DET
prudence	prudence	NOUN
aux	au	ADP_DET
jours	jour	NOUN
de	de	ADP
bataille	bataille	NOUN
.	.	PUNCTsent
Une	un	DET
blessure	blessure	NOUN
qui	qui	PRON
lui	lui	PRON
eût	avoir	AUX
déformé	déformer	VERB
le	le	DET
nez	nez	NOUN
,	,	PUNCTclause
coupé	couper	VERB
le	le	DET
front	front	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
couturé	couturer	VERB
les	le	DET
joues	joue	NOUN
,	,	PUNCTclause
aurait	avoir	AUX
détruit	détruire	VERB
l'une	l'une	PRON
des	un	ADP_DET
plus	plus	ADV
belles	beau	ADJ
figures	figure	NOUN
italiennes	italien	ADJ
de	de	ADP
laquelle	laquelle	PRON
jamais	jamais	ADV
femme	femme	NOUN
ait	avoir	AUX
rêveusement	rêveusement	ADV
dessiné	dessiner	VERB
les	le	DET
proportions	proportion	NOUN
délicates	délicat	ADJ
.	.	PUNCTsent
Son	son	DET
visage	visage	NOUN
,	,	PUNCTclause
assez	assez	ADV
semblable	semblable	ADJ
au	au	ADP_DET
type	type	NOUN
qui	qui	PRON
a	avoir	AUX
fourni	fournir	VERB
le	le	DET
jeune	jeune	ADJ
Turc	turc	NOUN
mourant	mourir	VERB
à	à	ADP
Girodet	Girodet	PROPN
dans	dans	ADP
son	son	DET
tableau	tableau	NOUN
de	de	ADP
la	le	DET
Révolte	révolte	NOUN
du	du	ADP_DET
Caire	Caire	PROPN
,	,	PUNCTclause
était	être	AUX
un	un	PRON
de	de	ADP
ces	ce	DET
visages	visage	NOUN
mélancoliques	mélancolique	ADJ
dont	dont	PRON
les	le	DET
femmes	femme	NOUN
sont	être	AUX
presque	presque	ADV
toujours	toujours	ADV
les	le	DET
dupes	dupe	ADJ
.	.	PUNCTsent
Le	le	DET
marquis	marquis	NOUN
de	de	ADP
Montefiore	Montefiore	PROPN
possédait	posséder	VERB
des	un	DET
biens	bien	NOUN
substitués	substituer	VERB
,	,	PUNCTclause
il	il	PRON
en	en	PRON
avait	avoir	AUX
engagé	engager	VERB
tous	tout	ADJ
les	le	DET
revenus	revenu	NOUN
pour	pour	ADP
un	un	DET
certain	certain	ADJ
nombre	nombre	NOUN
de	de	ADP
années	année	NOUN
,	,	PUNCTclause
afin de	afin de	ADP
payer	payer	VERB
des	un	DET
escapades	escapade	NOUN
italiennes	italien	ADJ
qui	qui	PRON
ne	ne	ADV
se	se	PRON
concevraient	concevoir	VERB
point	point	ADV
à	à	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
était	être	AUX
ruiné	ruiner	VERB
à	à	ADP
soutenir	soutenir	VERB
un	un	DET
théâtre	théâtre	NOUN
de	de	ADP
Milan	Milan	PROPN
,	,	PUNCTclause
pour	pour	ADP
imposer	imposer	VERB
au	au	ADP_DET
public	public	NOUN
une	un	DET
mauvaise	mauvais	ADJ
cantatrice	cantatrice	NOUN
qui	qui	PRON
,	,	PUNCTclause
disait	dire	VERB
il	il	PRON
,	,	PUNCTclause
l'	le	DET
aimait	aimer	VERB
à	à	ADP
la	le	DET
folie	folie	NOUN
.	.	PUNCTsent
Le	le	DET
capitaine	capitaine	NOUN
Montefiore	Montefiore	PROPN
avait	avoir	AUX
donc	donc	ADV
un	un	DET
très-bel	très-bel	NOUN
avenir	avenir	VERB
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
se	se	PRON
souciait	soucier	VERB
pas	pas	ADV
de	de	ADP
le	le	DET
jouer	jouer	VERB
contre	contre	ADP
un	un	DET
méchant	méchant	ADJ
morceau	morceau	NOUN
de	de	ADP
ruban	ruban	NOUN
rouge	rouge	ADJ
.	.	PUNCTsent
Si	si	SCONJ
ce	ce	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
un	un	DET
brave	brave	ADJ
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
au moins	au moins	ADV
un	un	DET
philosophe	philosophe	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
avait	avoir	VERB
des	un	DET
précédents	précédent	NOUN
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
est	être	AUX
permis	permettre	VERB
de	de	ADP
parler	parler	VERB
ici	ici	ADV
notre	notre	DET
langage	langage	NOUN
parlementaire	parlementaire	ADJ
.	.	PUNCTsent
Philippe	Philippe	PROPN
II	II	NUM
ne	ne	ADV
jura	jurer	VERB
il	il	PRON
pas	pas	ADV
,	,	PUNCTclause
à	à	ADP
la	le	DET
bataille	bataille	NOUN
de	de	ADP
Saint-Quentin	Saint-Quentin	PROPN
,	,	PUNCTclause
de	de	ADP
ne	ne	ADV
plus	plus	ADV
se	se	PRON
retrouver	retrouver	VERB
au	au	ADP_DET
feu	feu	NOUN
,	,	PUNCTclause
excepté	excepté	ADP
celui	celui	PRON
des	un	ADP_DET
bûchers	bûcher	NOUN
de	de	ADP
l'	le	DET
Inquisition	inquisition	NOUN
;	;	PUNCTclause
et	et	CCONJ
le	le	DET
duc	duc	NOUN
de	de	ADP
Albe	Albe	PROPN
ne	ne	ADV
l'	le:PRON	PRON
approuva	approuver	VERB
il	il	PRON
pas	pas	ADV
de	de	ADP
penser	penser	VERB
que	que	SCONJ
le	le	DET
plus	plus	ADV
mauvais	mauvais	ADJ
commerce	commerce	NOUN
du	du	ADP_DET
monde	monde	NOUN
était	être	AUX
le	le	DET
troc	troc	NOUN
involontaire	involontaire	ADJ
de	de	ADP
une	un	DET
couronne	couronne	NOUN
contre	contre	ADP
une	un	DET
balle	balle	NOUN
de	de	ADP
plomb	plomb	NOUN
?	?	PUNCTsent
Donc	donc	ADV
,	,	PUNCTclause
Montefiore	Montefiore	PROPN
était	être	AUX
philippiste	philippiste	ADJ
en	en	ADP
sa	son	DET
qualité	qualité	NOUN
de	de	ADP
marquis	marquis	NOUN
;	;	PUNCTclause
philippiste	philippiste	NOUN
en	en	ADP
sa	son	DET
qualité	qualité	NOUN
de	de	ADP
joli	joli	ADJ
garçon	garçon	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au	au	ADP_DET
demeurant	demeurer	VERB
,	,	PUNCTclause
aussi	aussi	ADV
profond	profond	ADJ
politique	politique	NOUN
que	que	SCONJ
pouvait	pouvoir	VERB
l'	le:PRON	PRON
être	être	AUX
Philippe	Philippe	PROPN
II	II	NUM
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
consolait	consoler	VERB
de	de	ADP
son	son	DET
surnom	surnom	NOUN
et	et	CCONJ
de	de	ADP
la	le	DET
mésestime	mésestime	NOUN
du	du	ADP_DET
régiment	régiment	NOUN
en	en	ADP
pensant	penser	VERB
que	que	SCONJ
ses	son	DET
camarades	camarade	NOUN
étaient	être	AUX
des	un	DET
chenapans	chenapan	NOUN
,	,	PUNCTclause
dont	dont	PRON
l'	le	DET
opinion	opinion	NOUN
pourrait	pouvoir	VERB
bien	bien	ADV
un	un	DET
jour	jour	NOUN
ne	ne	ADV
pas	pas	ADV
obtenir	obtenir	VERB
grande	grand	ADJ
créance	créance	NOUN
,	,	PUNCTclause
si	si	SCONJ
par hasard	par hasard	ADV
,	,	PUNCTclause
ils	ils	PRON
survivaient	survivre	VERB
à	à	ADP
cette	ce	DET
guerre	guerre	NOUN
de	de	ADP
extermination	extermination	NOUN
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
sa	son	DET
figure	figure	NOUN
était	être	AUX
un	un	DET
brevet	brevet	NOUN
de	de	ADP
valeur	valeur	NOUN
;	;	PUNCTclause
il	il	PRON
se	se	PRON
voyait	voir	VERB
forcément	forcément	ADV
nommé	nommer	VERB
colonel	colonel	NOUN
,	,	PUNCTclause
