# columns = TERM LEMMA POS
# identifier = balzac1837FC25
# creator = Balzac, Honoré de
# created = 1837
# modified = 1844
# title = La Messe de l’athée. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
est	être	AUX
plus	plus	ADV
appréciable	appréciable	ADJ
dès que	dès que	SCONJ
ils	ils	PRON
ont	avoir	AUX
disparu	disparaître	VERB
.	.	PUNCTsent
Les	le	DET
acteurs	acteur	NOUN
et	et	CCONJ
les	le	DET
chirurgiens	chirurgien	NOUN
,	,	PUNCTclause
comme	comme	ADP
aussi	aussi	ADV
les	le	DET
grands	grand	ADJ
chanteurs	chanteur	NOUN
,	,	PUNCTclause
comme	comme	ADP
les	le	DET
virtuoses	virtuose	NOUN
qui	qui	PRON
décuplent	décupler	VERB
par	par	ADP
leur	leur	DET
exécution	exécution	NOUN
la	le	DET
puissance	puissance	NOUN
de	de	ADP
la	le	DET
musique	musique	NOUN
,	,	PUNCTclause
sont	être	AUX
tous	tout	ADJ
les	le	DET
héros	héros	NOUN
du	du	ADP_DET
moment	moment	NOUN
.	.	PUNCTsent
Desplein	Desplein	PROPN
offre	offrir	VERB
la	le	DET
preuve	preuve	NOUN
de	de	ADP
cette	ce	DET
similitude	similitude	NOUN
entre	entre	ADP
la	le	DET
destinée	destinée	NOUN
de	de	ADP
ces	ce	DET
génies	génie	NOUN
transitoires	transitoire	ADJ
.	.	PUNCTsent
Son	son	DET
nom	nom	NOUN
,	,	PUNCTclause
si	si	SCONJ
célèbre	célèbre	ADJ
hier	hier	ADV
,	,	PUNCTclause
aujourd'hui	aujourd'hui	ADV
presque	presque	ADV
oublié	oublier	VERB
,	,	PUNCTclause
restera	rester	VERB
dans	dans	ADP
sa	son	DET
spécialité	spécialité	NOUN
sans	sans	ADP
en	en	ADP
franchir	franchir	VERB
les	le	DET
bornes	borne	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
ne	ne	ADV
faut	falloir	VERB
il	il	PRON
pas	pas	ADV
des	un	DET
circonstances	circonstance	NOUN
inouïes	inouï	ADJ
pour que	pour que	SCONJ
le	le	DET
nom	nom	NOUN
de	de	ADP
un	un	DET
savant	savant	NOUN
passe	passer	VERB
du	du	ADP_DET
domaine	domaine	NOUN
de	de	ADP
la	le	DET
Science	Science	NOUN
dans	dans	ADP
l'	le	DET
histoire	histoire	NOUN
générale	général	ADJ
de	de	ADP
l'	le	DET
Humanité	Humanité	PROPN
?	?	PUNCTsent
Desplein	Desplein	PROPN
avait	avoir	VERB
il	il	PRON
cette	ce	DET
universalité	universalité	NOUN
de	de	ADP
connaissances	connaissance	NOUN
qui	qui	PRON
fait	faire	VERB
de	de	ADP
un	un	DET
homme	homme	NOUN
le	le	DET
verbe	verbe	NOUN
ou	ou	CCONJ
la	le	DET
figure	figure	NOUN
de	de	ADP
un	un	DET
siècle	siècle	NOUN
?	?	PUNCTsent
Desplein	Desplein	PROPN
possédait	posséder	VERB
un	un	DET
divin	divin	ADJ
coups d'œil	coups d'œil	NOUN
:	:	PUNCTclause
il	il	PRON
pénétrait	pénétrer	VERB
le	le	DET
malade	malade	NOUN
et	et	CCONJ
sa	son	DET
maladie	maladie	NOUN
par	par	ADP
une	un	DET
intuition	intuition	NOUN
acquise	acquis	ADJ
ou	ou	CCONJ
naturelle	naturel	ADJ
qui	qui	PRON
lui	lui	PRON
permettait	permettre	VERB
de	de	ADP
embrasser	embrasser	VERB
les	le	DET
diagnostics	diagnostic	NOUN
particuliers	particulier	ADJ
à	à	ADP
l'	le	DET
individu	individu	NOUN
,	,	PUNCTclause
de	de	ADP
déterminer	déterminer	VERB
le	le	DET
moment	moment	NOUN
précis	précis	ADJ
,	,	PUNCTclause
l'	le	DET
heure	heure	NOUN
,	,	PUNCTclause
la	le	DET
minute	minute	NOUN
à	à	ADP
laquelle	laquelle	PRON
il	il	PRON
fallait	falloir	VERB
opérer	opérer	VERB
,	,	PUNCTclause
en	en	ADP
faisant	faire	VERB
la	le	DET
part	part	NOUN
aux	au	ADP_DET
circonstances	circonstance	NOUN
atmosphériques	atmosphérique	ADJ
et	et	CCONJ
aux	au	ADP_DET
particularités	particularité	NOUN
du	du	ADP_DET
tempérament	tempérament	NOUN
.	.	PUNCTsent
Pour	pour	ADP
marcher	marcher	VERB
ainsi	ainsi	ADV
de	de	ADP
conserve	conserve	NOUN
avec	avec	ADP
la	le	DET
Nature	Nature	NOUN
,	,	PUNCTclause
avait	avoir	AUX
il	il	PRON
donc	donc	ADV
étudié	étudier	VERB
l'	le	DET
incessante	incessant	ADJ
jonction	jonction	NOUN
des	un	ADP_DET
êtres	être	NOUN
et	et	CCONJ
des	un	DET
substances	substance	NOUN
élémentaires	élémentaire	ADJ
contenues	contenir	VERB
dans	dans	ADP
l'	le	DET
atmosphère	atmosphère	NOUN
ou	ou	CCONJ
que	que	SCONJ
fournit	fournir	VERB
la	le	DET
terre	terre	NOUN
à	à	ADP
l'	le	DET
homme	homme	NOUN
qui	qui	PRON
les	le:PRON	PRON
absorbe	absorber	VERB
et	et	CCONJ
les	le	DET
prépare	préparer	VERB
pour	pour	ADP
en	en	PRON
tirer	tirer	VERB
une	un	DET
expression	expression	NOUN
particulière	particulier	ADJ
?	?	PUNCTsent
Procédait	procéder	VERB
il	il	PRON
par	par	ADP
cette	ce	DET
puissance	puissance	NOUN
de	de	ADP
déduction	déduction	NOUN
et	et	CCONJ
de	de	ADP
analogie	analogie	NOUN
à	à	ADP
laquelle	laquelle	PRON
est	être	AUX
dû	devoir	VERB
le	le	DET
génie	génie	NOUN
de	de	ADP
Cuvier	Cuvier	PROPN
?	?	PUNCTsent
quoi que	quoi que	SCONJ
il	il	PRON
en	en	PRON
soit	être	AUX
,	,	PUNCTclause
cet	ce	DET
homme	homme	NOUN
se	se	PRON
était	être	AUX
fait	faire	VERB
le	le	DET
confident	confident	NOUN
de	de	ADP
la	le	DET
Chair	Chair	PROPN
,	,	PUNCTclause
il	il	PRON
la	le	DET
saisissait	saisir	VERB
dans	dans	ADP
le	le	DET
passé	passé	NOUN
comme	comme	SCONJ
dans	dans	ADP
l'	le	DET
avenir	avenir	NOUN
,	,	PUNCTclause
en	en	ADP
se	se	PRON
appuyant	appuyer	VERB
sur	sur	ADP
le	le	DET
présent	présent	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
a	avoir	VERB
il	il	PRON
résumé	résumer	VERB
toute	tout	ADJ
la	le	DET
science	science	NOUN
en	en	ADP
sa	son	DET
personne	personne	NOUN
comme	comme	ADP
ont	avoir	AUX
fait	faire	AUX
Hippocrate	Hippocrate	PROPN
,	,	PUNCTclause
Galien	Galien	PROPN
,	,	PUNCTclause
Aristote	Aristote	PROPN
?	?	PUNCTsent
A	avoir	AUX
il	il	PRON
conduit	conduire	VERB
toute	toute	DET
une	un	DET
école	école	NOUN
vers	vers	ADP
des	un	DET
mondes	monde	NOUN
nouveaux	nouveau	ADJ
?	?	PUNCTsent
Non	non	ADV
.	.	PUNCTsent
si	si	SCONJ
il	il	PRON
est	être	AUX
impossible	impossible	ADJ
de	de	ADP
refuser	refuser	VERB
à	à	ADP
ce	ce	DET
perpétuel	perpétuel	ADJ
observateur	observateur	NOUN
de	de	ADP
la	le	DET
chimie	chimie	NOUN
humaine	humain	ADJ
,	,	PUNCTclause
l'	le	DET
antique	antique	ADJ
science	science	NOUN
du	du	ADP_DET
Magisme	Magisme	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
la	le	DET
connaissance	connaissance	NOUN
des	un	ADP_DET
principes	principe	NOUN
en	en	ADP
fusion	fusion	NOUN
,	,	PUNCTclause
les	le	DET
causes	cause	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCTclause
la	le	DET
vie	vie	NOUN
avant	avant	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCTclause
ce	ce	PRON
que	que	PRON
elle	elle	PRON
sera	être	AUX
par	par	ADP
ses	son	DET
préparations	préparation	NOUN
avant de	avant de	ADP
être	être	AUX
;	;	PUNCTclause
malheureusement	malheureusement	ADV
tout	tout	ADV
en	en	ADP
lui	lui	PRON
fut	être	AUX
personnel	personnel	NOUN
:	:	PUNCTclause
isolé	isoler	VERB
dans	dans	ADP
sa	son	DET
vie	vie	NOUN
par	par	ADP
l'	le	DET
égoïsme	égoïsme	NOUN
,	,	PUNCTclause
l'	le	DET
égoïsme	égoïsme	NOUN
suicide	suicider	VERB
aujourd'hui	aujourd'hui	ADV
sa	son	DET
gloire	gloire	NOUN
.	.	PUNCTsent
Sa	son	DET
tombe	tombe	NOUN
ne	ne	ADV
est	être	AUX
pas	pas	ADV
surmontée	surmonter	VERB
de	de	ADP
la	le	DET
statue	statue	NOUN
sonore	sonore	ADJ
qui	qui	PRON
redit	redire	VERB
à	à	ADP
l'	le	DET
avenir	avenir	NOUN
les	le	DET
mystères	mystère	NOUN
que	que	SCONJ
le	le	DET
Génie	Génie	NOUN
cherche	chercher	VERB
à	à	ADP
ses	son	DET
dépens	dépens	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
peut-être	peut-être	ADV
le	le	DET
talent	talent	NOUN
de	de	ADP
Desplein	Desplein	PROPN
était	être	AUX
il	il	PRON
solidaire	solidaire	ADJ
de	de	ADP
ses	son	DET
croyances	croyance	NOUN
,	,	PUNCTclause
et	et	CCONJ
conséquemment	conséquemment	ADV
mortel	mortel	ADJ
.	.	PUNCTsent
Pour	pour	ADP
lui	lui	PRON
,	,	PUNCTclause
l'	le	DET
atmosphère	atmosphère	NOUN
terrestre	terrestre	ADJ
était	être	AUX
un	un	DET
sac	sac	NOUN
générateur	générateur	ADJ
:	:	PUNCTclause
il	il	PRON
voyait	voir	VERB
la	le	DET
terre	terre	NOUN
comme	comme	ADP
un	un	DET
œuf	œuf	NOUN
dans	dans	ADP
sa	son	DET
coque	coque	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
pouvant	pouvoir	VERB
savoir	savoir	VERB
qui	qui	PRON
de	de	ADP
l'	le	DET
œuf	œuf	NOUN
,	,	PUNCTclause
qui	qui	PRON
de	de	ADP
la	le	DET
poule	poule	NOUN
,	,	PUNCTclause
avait	avoir	AUX
commencé	commencer	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
admettait	admettre	VERB
ni	ni	CCONJ
le	le	DET
coq	coq	NOUN
ni	ni	CCONJ
l'	le	DET
œuf	œuf	NOUN
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
croyait	croire	VERB
ni	ni	CCONJ
en	en	ADP
l'	le	DET
animal	animal	NOUN
antérieur	antérieur	ADJ
,	,	PUNCTclause
ni	ni	CCONJ
en	en	ADP
l'	le	DET
esprit	esprit	NOUN
postérieur	postérieur	ADJ
à	à	ADP
l'	le	DET
homme	homme	NOUN
.	.	PUNCTsent
Desplein	Desplein	PROPN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
dans	dans	ADP
le	le	DET
doute	doute	NOUN
,	,	PUNCTclause
il	il	PRON
affirmait	affirmer	VERB
.	.	PUNCTsent
Son	son	DET
athéisme	athéisme	NOUN
pur	pur	ADJ
et	et	CCONJ
franc	franc	ADJ
ressemblait	ressembler	VERB
à	à	ADP
celui	celui	PRON
de	de	ADP
beaucoup de	beaucoup de	DET
savants	savant	NOUN
,	,	PUNCTclause
les	le	DET
meilleurs	meilleur	ADJ
gens du monde	gens du monde	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
invinciblement	invinciblement	ADV
athées	athée	ADJ
,	,	PUNCTclause
athées	athée	NOUN
comme	comme	ADP
les	le	DET
gens	gens	NOUN
religieux	religieux	ADJ
ne	ne	ADV
admettent	admettre	VERB
pas	pas	ADV
que	que	SCONJ
il	il	PRON
puisse	pouvoir	VERB
y	y	PRON
avoir	avoir	AUX
de	de	ADP
athées	athée	NOUN
.	.	PUNCTsent
Cette	ce	DET
opinion	opinion	NOUN
ne	ne	ADV
devait	devoir	VERB
pas	pas	ADV
être	être	AUX
autrement	autrement	ADV
chez	chez	ADP
un	un	DET
homme	homme	NOUN
habitué	habituer	VERB
depuis	depuis	ADP
son	son	DET
jeune	jeune	ADJ
âge	âge	NOUN
à	à	ADP
disséquer	disséquer	VERB
l'	le	DET
être	être	AUX
par excellence	par excellence	ADV
,	,	PUNCTclause
avant	avant	ADP
,	,	PUNCTclause
pendant	pendant	ADP
et	et	CCONJ
après	après	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCTclause
à	à	ADP
le	le	DET
fouiller	fouiller	VERB
dans	dans	ADP
tous	tout	ADJ
ses	son	DET
appareils	appareil	NOUN
sans	sans	ADP
y	y	PRON
trouver	trouver	VERB
cette	ce	DET
âme	âme	NOUN
unique	unique	ADJ
,	,	PUNCTclause
si	si	SCONJ
nécessaire	nécessaire	ADJ
aux	au	ADP_DET
théories	théorie	NOUN
religieuses	religieux	ADJ
.	.	PUNCTsent
En	en	ADP
y	y	PRON
reconnaissant	reconnaître	VERB
un	un	DET
centre	centre	NOUN
cérébral	cérébral	ADJ
,	,	PUNCTclause
un	un	DET
centre	centre	NOUN
nerveux	nerveux	ADJ
et	et	CCONJ
un	un	DET
centre	centre	NOUN
aéro-sanguin	aéro-sanguin	NOUN
,	,	PUNCTclause
dont	dont	PRON
les	le	DET
deux	deux	NUM
premiers	premier	ADJ
se	se	PRON
suppléent	suppléer	VERB
si	si	ADV
bien	bien	ADV
l'un	l'un	PRON
l'autre	l'autre	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
eut	avoir	VERB
dans	dans	ADP
les	le	DET
derniers	dernier	ADJ
jours	jour	NOUN
de	de	ADP
sa	son	DET
vie	vie	NOUN
la	le	DET
conviction	conviction	NOUN
que	que	SCONJ
le	le	DET
sens	sens	NOUN
de	de	ADP
l'	le	DET
ouïe	ouïe	NOUN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
absolument	absolument	ADV
nécessaire	nécessaire	ADJ
pour	pour	ADP
entendre	entendre	VERB
,	,	PUNCTclause
ni	ni	CCONJ
le	le	DET
sens	sens	NOUN
de	de	ADP
la	le	DET
vue	vue	NOUN
absolument	absolument	ADV
nécessaire	nécessaire	ADJ
pour	pour	ADP
voir	voir	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
le	le	DET
plexus	plexus	NOUN
solaire	solaire	ADJ
les	le	DET
remplaçait	remplacer	VERB
,	,	PUNCTclause
sans que	sans que	SCONJ
l'on	on	PRON
en	en	PRON
pût	pouvoir	VERB
douter	douter	VERB
;	;	PUNCTclause
Desplein	Desplein	PROPN
,	,	PUNCTclause
en	en	ADP
trouvant	trouver	VERB
deux	deux	NUM
âmes	âme	NOUN
dans	dans	ADP
l'	le	DET
homme	homme	NOUN
,	,	PUNCTclause
corrobora	corroborer	VERB
son	son	DET
athéisme	athéisme	NOUN
de	de	ADP
ce	ce	DET
fait	fait	NOUN
,	,	PUNCTclause
quoique	quoique	SCONJ
il	il	PRON
ne	ne	ADV
préjuge	préjuger	VERB
encore	encore	ADV
rien	rien	PRON
sur	sur	ADP
Dieu	Dieu	PROPN
.	.	PUNCTsent
Cet	ce	DET
homme	homme	NOUN
mourut	mourir	VERB
,	,	PUNCTclause
dit	dire	VERB
on	on	PRON
,	,	PUNCTclause
dans	dans	ADP
l'	le	DET
impénitence	impénitence	NOUN
finale	final	ADJ
où	où	PRON
meurent	mourir	VERB
malheureusement	malheureusement	ADV
beaucoup de	beaucoup de	DET
beaux	beau	ADJ
génies	génie	NOUN
,	,	PUNCTclause
à	à	ADP
qui	qui	PRON
Dieu	Dieu	PROPN
puisse	pouvoir	VERB
pardonner	pardonner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
vie	vie	NOUN
de	de	ADP
cet	ce	DET
homme	homme	NOUN
si	si	SCONJ
grand	grand	ADJ
offrait	offrir	VERB
beaucoup de	beaucoup de	DET
petitesses	petitesse	NOUN
,	,	PUNCTclause
pour	pour	ADP
employer	employer	VERB
l'	le	DET
expression	expression	NOUN
dont	dont	PRON
se	se	PRON
servaient	servir	VERB
ses	son	DET
ennemis	ennemi	NOUN
,	,	PUNCTclause
jaloux	jaloux	ADJ
de	de	ADP
diminuer	diminuer	VERB
sa	son	DET
gloire	gloire	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
il	il	PRON
serait	être	AUX
plus	plus	ADV
convenable	convenable	ADJ
de	de	ADP
nommer	nommer	VERB
des	un	DET
contresens	contresens	NOUN
apparents	apparent	ADJ
.	.	PUNCTsent
ne	ne	ADV
ayant	avoir	AUX
jamais	jamais	ADV
connaissance	connaissance	NOUN
des	un	ADP_DET
déterminations	détermination	NOUN
par	par	ADP
lesquelles	lesquelles	PRON
agissent	agir	VERB
les	le	DET
esprits	esprit	NOUN
supérieurs	supérieur	ADJ
,	,	PUNCTclause
les	le	DET
envieux	envieux	ADJ
ou	ou	CCONJ
les	le	DET
niais	niais	NOUN
se	se	PRON
arment	armer	VERB
aussitôt	aussitôt	ADV
de	de	ADP
quelques	quelque	DET
contradictions	contradiction	NOUN
superficielles	superficiel	ADJ
pour	pour	ADP
dresser	dresser	VERB
un	un	DET
acte	acte	NOUN
de	de	ADP
accusation	accusation	NOUN
sur	sur	ADP
lequel	lequel	PRON
ils	ils	PRON
les	le:PRON	PRON
font	faire	VERB
momentanément	momentanément	ADV
juger	juger	VERB
.	.	PUNCTsent
Si	si	SCONJ
,	,	PUNCTclause
plus tard	plus tard	ADV
,	,	PUNCTclause
le	le	DET
succès	succès	NOUN
couronne	couronner	VERB
les	le	DET
combinaisons	combinaison	NOUN
attaquées	attaquer	VERB
,	,	PUNCTclause
en	en	ADP
montrant	montrer	VERB
la	le	DET
corrélation	corrélation	NOUN
des	un	ADP_DET
préparatifs	préparatif	NOUN
et	et	CCONJ
des	un	ADP_DET
résultats	résultat	NOUN
,	,	PUNCTclause
il	il	PRON
subsiste	subsister	VERB
toujours	toujours	ADV
un	un	DET
peu	peu	ADV
des	un	DET
calomnies	calomnie	NOUN
de	de	ADP
avant-garde	avant-garde	NOUN
.	.	PUNCTsent
Ainsi	ainsi	ADV
,	,	PUNCTclause
de	de	ADP
nos	nos	DET
jours	jour	NOUN
,	,	PUNCTclause
Napoléon	Napoléon	PROPN
fut	être	AUX
condamné	condamner	VERB
par	par	ADP
ses	son	DET
contemporains	contemporain	NOUN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
il	il	PRON
déployait	déployer	VERB
les	le	DET
ailes	aile	NOUN
de	de	ADP
son	son	DET
aigle	aigle	NOUN
sur	sur	ADP
l'	le	DET
Angleterre	Angleterre	PROPN
:	:	PUNCTclause
il	il	PRON
fallut	falloir	VERB
1822	1822	NUM
pour	pour	ADP
expliquer	expliquer	VERB
1804	1804	NUM
et	et	CCONJ
les	le	DET
bateaux	bateau	NOUN
plats	plat	ADJ
de	de	ADP
Boulogne	Boulogne	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Chez	chez	ADP
Desplein	Desplein	PROPN
,	,	PUNCTclause
la	le	DET
gloire	gloire	NOUN
et	et	CCONJ
la	le	DET
science	science	NOUN
étant	être	AUX
inattaquables	inattaquable	ADJ
,	,	PUNCTclause
ses	son	DET
ennemis	ennemi	NOUN
se	se	PRON
en	en	ADP
prenaient	prendre	VERB
à	à	ADP
son	son	DET
humeur	humeur	NOUN
bizarre	bizarre	ADJ
,	,	PUNCTclause
à	à	ADP
son	son	DET
caractère	caractère	NOUN
;	;	PUNCTclause
tandis que	tandis que	SCONJ
il	il	PRON
possédait	posséder	VERB
tout	tout	ADV
bonnement	bonnement	ADV
cette	ce	DET
qualité	qualité	NOUN
que	que	SCONJ
les	le	DET
Anglais	Anglais	NOUN
nomment	nommer	VERB
excentricity	excentricity	DET
.	.	PUNCTsent
Tantôt	tantôt	ADV
il	il	PRON
allait	aller	VERB
superbement	superbement	ADV
vêtu	vêtir	VERB
comme	comme	ADP
Crébillon	Crébillon	PROPN
le	le	DET
tragique	tragique	NOUN
,	,	PUNCTclause
tantôt	tantôt	ADV
il	il	PRON
affectait	affecter	VERB
une	un	DET
singulière	singulier	ADJ
indifférence	indifférence	NOUN
en fait de	en fait de	ADP
vêtement	vêtement	NOUN
;	;	PUNCTclause
on	on	PRON
le	le:PRON	PRON
voyait	voir	VERB
tantôt	tantôt	ADV
en	en	ADP
voiture	voiture	NOUN
,	,	PUNCTclause
tantôt	tantôt	ADV
à	à	ADP
pied	pied	NOUN
.	.	PUNCTsent
tour à tour	tour à tour	ADV
brusque	brusque	ADJ
et	et	CCONJ
bon	bon	ADJ
,	,	PUNCTclause
en apparence	en apparence	ADV
âpre	âpre	ADJ
et	et	CCONJ
avare	avare	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
capable	capable	ADJ
de	de	ADP
offrir	offrir	VERB
sa	son	DET
fortune	fortune	NOUN
à	à	ADP
ses	son	DET
maîtres	maître	NOUN
exilés	exilé	NOUN
qui	qui	PRON
lui	lui	PRON
firent	faire	VERB
l'	le	DET
honneur	honneur	NOUN
de	de	ADP
l'	le	DET
accepter	accepter	VERB
pendant	pendant	ADP
quelques	quelque	DET
jours	jour	NOUN
,	,	PUNCTclause
aucun	aucun	DET
homme	homme	NOUN
ne	ne	ADV
a	avoir	AUX
inspiré	inspirer	VERB
plus	plus	ADV
de	de	ADP
jugements	jugement	NOUN
contradictoires	contradictoire	ADJ
.	.	PUNCTsent
Quoique	quoique	SCONJ
capable	capable	ADJ
,	,	PUNCTclause
pour	pour	ADP
avoir	avoir	AUX
un	un	DET
cordon	cordon	NOUN
noir	noir	ADJ
que	que	PRON
les	le	DET
médecins	médecin	NOUN
ne	ne	ADV
auraient	avoir	AUX
pas	pas	ADV
dû	devoir	VERB
briguer	briguer	VERB
,	,	PUNCTclause
de	de	ADP
laisser tomber	laisser tomber	VERB
à	à	ADP
la	le	DET
cour	cour	NOUN
un	un	DET
livre	livre	NOUN
de	de	ADP
heures	heure	NOUN
de	de	ADP
sa	son	DET
poche	poche	NOUN
,	,	PUNCTclause
croyez	croire	VERB
que	que	SCONJ
il	il	PRON
se	se	PRON
moquait	moquer	VERB
en	en	ADP
lui-même	lui-même	PRON
de	de	ADP
tout	tout	ADV
;	;	PUNCTclause
il	il	PRON
avait	avoir	AUX
un	un	DET
profond	profond	NOUN
mépris	méprendre	VERB
pour	pour	ADP
les	le	DET
hommes	homme	NOUN
,	,	PUNCTclause
après	après	ADP
les	le	DET
avoir	avoir	AUX
observés	observer	VERB
de	de	ADP
en haut	en haut	ADV
et	et	CCONJ
de	de	ADP
en bas	en bas	ADV
,	,	PUNCTclause
après	après	ADP
les	le	DET
avoir	avoir	AUX
surpris	surprendre	VERB
dans	dans	ADP
leur	leur	DET
véritable	véritable	ADJ
expression	expression	NOUN
,	,	PUNCTclause
au	au	ADP_DET
milieu	milieu	NOUN
des	un	ADP_DET
actes	acte	NOUN
de	de	ADP
l'	le	DET
existence	existence	NOUN
les	le	DET
plus	plus	ADV
solennels	solennel	ADJ
et	et	CCONJ
les	le	DET
plus	plus	ADV
mesquins	mesquin	ADJ
.	.	PUNCTsent
Chez	chez	ADP
un	un	DET
grand	grand	ADJ
homme	homme	NOUN
,	,	PUNCTclause
les	le	DET
qualités	qualité	NOUN
sont	être	AUX
souvent	souvent	ADV
solidaires	solidaire	ADJ
.	.	PUNCTsent
Si	si	SCONJ
,	,	PUNCTclause
parmi	parmi	ADP
ces	ce	DET
colosses	colosse	NOUN
,	,	PUNCTclause
l'un	l'un	PRON
de	de	ADP
eux	eux	PRON
a	avoir	AUX
plus	plus	ADV
de	de	ADP
talent	talent	NOUN
que	que	PRON
de	de	ADP
esprit	esprit	NOUN
,	,	PUNCTclause
son	son	DET
esprit	esprit	NOUN
est	être	AUX
encore	encore	ADV
plus	plus	ADV
étendu	étendre	VERB
que	que	ADV
celui	celui	PRON
de	de	ADP
qui	qui	PRON
l'on	on	PRON
dit	dire	VERB
simplement	simplement	ADV
:	:	PUNCTclause
Il	il	PRON
a	avoir	VERB
de	de	ADP
l'	le	DET
esprit	esprit	NOUN
.	.	PUNCTsent
Tout	tout	PRON
génie	génie	NOUN
suppose	supposer	VERB
une	un	DET
vue	vue	NOUN
morale	moral	ADJ
.	.	PUNCTsent
Cette	ce	DET
vue	vue	NOUN
peut	pouvoir	VERB
se	se	PRON
appliquer	appliquer	VERB
à	à	ADP
quelque	quelque	DET
spécialité	spécialité	NOUN
;	;	PUNCTclause
