# columns = TERM LEMMA POS
# identifier = balzac1832FC11
# creator = Balzac, Honoré de
# created = 1832
# modified = 1842
# title = Madame Firmiani. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
habiles	habile	ADJ
de	de	ADP
la	le	DET
pensée	pensée	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
il	il	PRON
est	être	AUX
des	un	DET
portraits	portrait	NOUN
qui	qui	PRON
veulent	vouloir	VERB
une	un	DET
âme	âme	NOUN
et	et	CCONJ
ne	ne	ADV
sont	être	VERB
rien	rien	PRON
sans	sans	ADP
les	le	DET
traits	trait	NOUN
les	le	DET
plus	plus	ADV
déliés	délier	VERB
de	de	ADP
leur	leur	DET
physionomie	physionomie	NOUN
mobile	mobile	ADJ
;	;	PUNCTclause
enfin	enfin	ADV
,	,	PUNCTclause
il	il	PRON
se	se	PRON
rencontre	rencontrer	VERB
de	de	ADP
ces	ce	DET
choses	chose	NOUN
que	que	SCONJ
nous	nous	PRON
ne	ne	ADV
savons	savoir	VERB
dire	dire	VERB
ou	ou	CCONJ
faire	faire	VERB
sans	sans	ADP
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
quelles	quel	DET
harmonies	harmonie	NOUN
inconnues	inconnu	ADJ
auxquelles	auxquelles	ADP_PRON
président	président	NOUN
un	un	DET
jour	jour	NOUN
,	,	PUNCTclause
une	un	DET
heure	heure	NOUN
,	,	PUNCTclause
une	un	DET
conjonction	conjonction	NOUN
heureuse	heureux	ADJ
dans	dans	ADP
les	le	DET
signes	signe	NOUN
célestes	céleste	ADJ
ou	ou	CCONJ
de	de	ADP
secrètes	secret	NOUN
prédispositions	prédisposition	NOUN
morales	morale	ADJ
.	.	PUNCTsent
Ces	ce	DET
sortes	sorte	NOUN
de	de	ADP
révélations	révélation	NOUN
mystérieuses	mystérieux	ADJ
étaient	être	AUX
impérieusement	impérieusement	ADV
exigées	exiger	VERB
pour	pour	ADP
dire	dire	VERB
cette	ce	DET
histoire	histoire	NOUN
simple	simple	ADJ
à	à	ADP
laquelle	laquelle	PRON
on	on	PRON
voudrait	vouloir	VERB
pouvoir	pouvoir	VERB
intéresser	intéresser	VERB
quelques-unes	quelques-unes	PRON
de	de	ADP
ces	ce	DET
âmes	âme	NOUN
naturellement	naturellement	ADV
mélancoliques	mélancolique	ADJ
et	et	CCONJ
songeuses	songeur	ADJ
qui	qui	PRON
se	se	PRON
nourrissent	nourrir	VERB
de	de	ADP
émotions	émotion	NOUN
douces	doux	ADJ
.	.	PUNCTsent
Si	si	SCONJ
l'	le	DET
écrivain	écrivain	NOUN
,	,	PUNCTclause
semblable	semblable	ADJ
à	à	ADP
un	un	DET
chirurgien	chirurgien	NOUN
près de	près de	ADP
un	un	DET
ami	ami	NOUN
mourant	mourir	VERB
,	,	PUNCTclause
se	se	PRON
est	être	AUX
pénétré	pénétrer	VERB
de	de	ADP
une	un	DET
espèce	espèce	NOUN
de	de	ADP
respect	respect	NOUN
pour	pour	ADP
le	le	DET
sujet	sujet	NOUN
que	que	SCONJ
il	il	PRON
maniait	manier	VERB
,	,	PUNCTclause
pourquoi	pourquoi	ADV
le	le	DET
lecteur	lecteur	NOUN
ne	ne	ADV
partagerait	partager	VERB
il	il	PRON
pas	pas	ADV
ce	ce	PRON
sentiment	sentiment	NOUN
inexplicable	inexplicable	ADJ
?	?	PUNCTsent
Est	être	AUX
ce	ce	DET
une	un	PRON
chose	chose	NOUN
difficile	difficile	ADJ
que	que	ADV
de	de	ADP
se	se	PRON
initier	initier	VERB
à	à	ADP
cette	ce	DET
vague	vague	NOUN
et	et	CCONJ
nerveuse	nerveux	NOUN
tristesse	tristesse	NOUN
qui	qui	PRON
répand	répandre	VERB
des	un	DET
teintes	teinte	NOUN
grises	gris	ADJ
autour de	autour de	ADP
nous	nous	PRON
,	,	PUNCTclause
demi-maladie	demi-maladie	ADP
dont	dont	PRON
les	le	DET
molles	mou	ADJ
souffrances	souffrance	NOUN
plaisent	plaire	VERB
parfois	parfois	ADV
?	?	PUNCTsent
Si	si	SCONJ
vous	vous	PRON
pensez	penser	VERB
par hasard	par hasard	ADV
aux	au	ADP_DET
personnes	personne	NOUN
chères	cher	ADJ
que	que	SCONJ
vous	vous	PRON
avez	avoir	VERB
perdues	perdre	VERB
;	;	PUNCTclause
si	si	SCONJ
vous	vous	PRON
êtes	être	VERB
seul	seul	ADJ
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
est	être	AUX
nuit	nuit	NOUN
ou	ou	CCONJ
si	si	SCONJ
le	le	DET
jour	jour	NOUN
tombe	tomber	VERB
,	,	PUNCTclause
poursuivez	poursuivre	VERB
la	le	DET
lecture	lecture	NOUN
de	de	ADP
cette	ce	DET
histoire	histoire	NOUN
;	;	PUNCTclause
autrement	autrement	ADV
,	,	PUNCTclause
vous	vous	PRON
jetteriez	jeter	VERB
le	le	DET
livre	livre	NOUN
,	,	PUNCTclause
ici	ici	ADV
.	.	PUNCTsent
Si	si	SCONJ
vous	vous	PRON
ne	ne	ADV
avez	avoir	VERB
pas	pas	ADV
enseveli	ensevelir	VERB
déjà	déjà	ADV
quelque	quelque	DET
bonne	bon	ADJ
tante	tante	NOUN
infirme	infirme	ADJ
ou	ou	CCONJ
sans	sans	ADP
fortune	fortune	NOUN
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
comprendrez	comprendre	VERB
point	point	ADV
ces	ce	DET
pages	page	NOUN
.	.	PUNCTsent
Aux	au	ADP_DET
uns	un	PRON
,	,	PUNCTclause
elles	elles	PRON
sembleront	sembler	VERB
imprégnées	imprégner	VERB
de	de	ADP
musc	musc	NOUN
;	;	PUNCTclause
aux	au	ADP_DET
autres	autre	ADJ
,	,	PUNCTclause
elles	elles	PRON
paraîtront	paraître	VERB
aussi	aussi	ADV
décolorées	décolorer	VERB
,	,	PUNCTclause
aussi	aussi	ADV
vertueuses	vertueux	ADJ
que	que	SCONJ
peuvent	pouvoir	VERB
l'	le	DET
être	être	AUX
celles	celle	PRON
de	de	ADP
Florian	Florian	PROPN
.	.	PUNCTsent
pour tout	pour tout	ADP
dire	dire	VERB
,	,	PUNCTclause
le	le	DET
lecteur	lecteur	NOUN
doit	devoir	VERB
avoir	avoir	AUX
connu	connaître	VERB
la	le	DET
volupté	volupté	NOUN
des	un	ADP_DET
larmes	larme	NOUN
,	,	PUNCTclause
avoir	avoir	AUX
senti	sentir	VERB
la	le	DET
douleur	douleur	NOUN
muette	muet	ADJ
de	de	ADP
un	un	DET
souvenir	souvenir	NOUN
qui	qui	PRON
passe	passer	VERB
légèrement	légèrement	ADV
,	,	PUNCTclause
chargé	charger	VERB
de	de	ADP
une	un	DET
ombre	ombre	NOUN
chère	cher	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
de	de	ADP
une	un	DET
ombre	ombre	NOUN
lointaine	lointain	ADJ
;	;	PUNCTclause
il	il	PRON
doit	devoir	VERB
posséder	posséder	VERB
quelques-uns	quelques-uns	PRON
de	de	ADP
ces	ce	DET
souvenirs	souvenir	NOUN
qui	qui	PRON
font	faire	VERB
tout	tout	ADV
à la fois	à la fois	ADV
regretter	regretter	VERB
ce	ce	PRON
que	que	PRON
vous	vous	PRON
a	avoir	AUX
dévoré	dévorer	VERB
la	le	DET
terre	terre	NOUN
,	,	PUNCTclause
et	et	CCONJ
sourire	sourire	VERB
de	de	ADP
un	un	DET
bonheur	bonheur	NOUN
évanoui	évanoui	ADJ
.	.	PUNCTsent
Maintenant	maintenant	ADV
,	,	PUNCTclause
croyez	croire	VERB
que	que	SCONJ
,	,	PUNCTclause
pour	pour	ADP
les	le	DET
richesses	richesse	NOUN
de	de	ADP
l'	le	DET
Angleterre	Angleterre	PROPN
,	,	PUNCTclause
l'	le	DET
auteur	auteur	NOUN
ne	ne	ADV
voudrait	vouloir	VERB
pas	pas	ADV
extorquer	extorquer	VERB
à	à	ADP
la	le	DET
poésie	poésie	NOUN
un	un	DET
seul	seul	ADJ
de	de	ADP
ses	son	DET
mensonges	mensonge	NOUN
pour	pour	ADP
embellir	embellir	VERB
sa	son	DET
narration	narration	NOUN
.	.	PUNCTsent
Ceci	ceci	PRON
est	être	AUX
une	un	DET
histoire	histoire	NOUN
vraie	vrai	ADJ
et	et	CCONJ
pour	pour	ADP
laquelle	laquelle	PRON
vous	vous	PRON
pouvez	pouvoir	VERB
dépenser	dépenser	VERB
les	le	DET
trésors	trésor	NOUN
de	de	ADP
votre	votre	DET
sensibilité	sensibilité	NOUN
,	,	PUNCTclause
si	si	SCONJ
vous	vous	PRON
en	en	PRON
avez	avoir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
notre	notre	DET
langue	langue	NOUN
a	avoir	AUX
autant	autant	ADV
de	de	ADP
idiomes	idiome	NOUN
que	que	SCONJ
il	il	PRON
existe	exister	VERB
de	de	ADP
Variétés	Variétés	NOUN
de	de	ADP
hommes	homme	NOUN
dans	dans	ADP
la	le	DET
grande	grand	ADJ
famille	famille	NOUN
française	français	ADJ
.	.	PUNCTsent
Aussi	aussi	ADV
est	être	AUX
ce	ce	DET
vraiment	vraiment	ADV
chose	chose	NOUN
curieuse	curieux	ADJ
et	et	CCONJ
agréable	agréable	ADJ
que	que	ADV
de	de	ADP
écouter	écouter	VERB
les	le	DET
différentes	différent	ADJ
acceptions	acception	NOUN
ou	ou	CCONJ
versions	version	NOUN
données	donnée	NOUN
sur	sur	ADP
une	un	DET
même chose	même chose	NOUN
ou	ou	CCONJ
sur	sur	ADP
un	un	DET
même	même	ADJ
événement	événement	NOUN
par	par	ADP
chacune	chacune	PRON
des	un	ADP_DET
Espèces	Espèces	NOUN
qui	qui	PRON
composent	composer	VERB
la	le	DET
monographie	monographie	NOUN
du	du	ADP_DET
Parisien	Parisien	PROPN
,	,	PUNCTclause
le	le	DET
parisien	parisien	NOUN
étant	être	AUX
pris	prendre	VERB
pour	pour	ADP
généraliser	généraliser	VERB
la	le	DET
thèse	thèse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ainsi	ainsi	ADV
,	,	PUNCTclause
vous	vous	PRON
eussiez	avoir	VERB
demandé	demander	VERB
à	à	ADP
un	un	DET
sujet	sujet	NOUN
appartenant	appartenir	VERB
au	au	ADP_DET
genre	genre	NOUN
des	un	ADP_DET
Positifs	Positifs	NOUN
:	:	PUNCTclause
—	—	PUNCTclause
connaissez	connaître	VERB
vous	vous	PRON
madame	madame	NOUN
Firmiani	Firmiani	PROPN
?	?	PUNCTsent
cet	ce	DET
homme	homme	NOUN
vous	vous	PRON
eût	avoir	AUX
traduit	traduire	VERB
madame	madame	NOUN
Firmiani	Firmiani	PROPN
par	par	ADP
l'	le	DET
inventaire	inventaire	NOUN
suivant	suivant	ADJ
:	:	PUNCTclause
—	—	PUNCTclause
un	un	DET
grand	grand	ADJ
hôtel	hôtel	NOUN
situé	situer	VERB
rue	rue	NOUN
du	du	ADP_DET
Bac	Bac	NOUN
,	,	PUNCTclause
des	un	DET
salons	salon	NOUN
bien	bien	ADV
meublés	meubler	VERB
,	,	PUNCTclause
de	de	ADP
beaux	beau	ADJ
tableaux	tableau	NOUN
,	,	PUNCTclause
cent	cent	NUM
bonnes	bon	ADJ
mille	mille	NUM
livres de rente	livres de rente	NOUN
,	,	PUNCTclause
et	et	CCONJ
un	un	DET
mari	mari	NOUN
,	,	PUNCTclause
jadis	jadis	ADV
receveur-général	receveur-général	PUNCT
dans	dans	ADP
le	le	DET
département	département	NOUN
de	de	ADP
Montenotte	Montenotte	PROPN
.	.	PUNCTsent
Ayant	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
le	le	DET
Positif	Positif	NOUN
,	,	PUNCTclause
homme	homme	NOUN
gros	gros	ADJ
et	et	CCONJ
rond	rond	ADJ
,	,	PUNCTclause
presque	presque	ADV
toujours	toujours	ADV
vêtu	vêtir	VERB
de	de	ADP
noir	noir	NOUN
,	,	PUNCTclause
fait	faire	AUX
une	un	DET
petite	petit	ADJ
grimace	grimace	NOUN
de	de	ADP
satisfaction	satisfaction	NOUN
,	,	PUNCTclause
relève	relever	VERB
sa	son	DET
lèvre	lèvre	NOUN
inférieure	inférieur	ADJ
en	en	ADP
la	le	DET
fronçant	froncer	VERB
de manière à	de manière à	ADP
couvrir	couvrir	VERB
la	le	DET
supérieure	supérieur	ADJ
,	,	PUNCTclause
et	et	CCONJ
hoche	hocher	VERB
la	le	DET
tête	tête	NOUN
comme	comme	CCONJ
si	si	SCONJ
il	il	PRON
ajoutait	ajouter	VERB
:	:	PUNCTclause
Voilà	voilà	VERB
des	un	DET
gens	gens	NOUN
solides	solide	ADJ
et	et	CCONJ
sur	sur	ADP
lesquels	lesquels	PRON
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
rien	rien	PRON
à	à	ADP
dire	dire	VERB
.	.	PUNCTsent
Ne	ne	ADV
lui	lui	PRON
demandez	demander	VERB
rien	rien	PRON
de plus	de plus	ADV
!	!	PUNCTsent
Les	le	DET
Positifs	Positifs	NOUN
expliquent	expliquer	VERB
tout	tout	DET
par	par	ADP
des	un	DET
chiffres	chiffre	NOUN
,	,	PUNCTclause
par	par	ADP
des	un	DET
rentes	rente	NOUN
ou	ou	CCONJ
par	par	ADP
les	le	DET
biens	bien	NOUN
au	au	ADP_DET
soleil	soleil	NOUN
,	,	PUNCTclause
un	un	DET
mot	mot	NOUN
de	de	ADP
leur	leur	DET
lexique	lexique	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Tournez	tourner	VERB
à	à	ADP
droite	droite	NOUN
,	,	PUNCTclause
allez	aller	VERB
interroger	interroger	VERB
cet	ce	DET
autre	autre	PRON
qui	qui	PRON
appartient	appartenir	VERB
au	au	ADP_DET
genre	genre	NOUN
des	un	ADP_DET
Flâneurs	Flâneurs	NOUN
,	,	PUNCTclause
répétez	répéter	VERB
lui	lui	PRON
votre	votre	DET
question	question	NOUN
:	:	PUNCTclause
—	—	PUNCTclause
Madame	Madame	NOUN
Firmiani	Firmiani	PROPN
?	?	PUNCTsent
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
je	je	PRON
la	le:PRON	PRON
connais	connaître	VERB
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
vais	aller	VERB
à	à	ADP
ses	son	DET
soirées	soirée	NOUN
.	.	PUNCTsent
Elle	elle	PRON
reçoit	recevoir	VERB
le	le	DET
mercredi	mercredi	NOUN
;	;	PUNCTclause
ce	ce	PRON
est	être	AUX
une	un	DET
maison	maison	NOUN
fort	fort	ADJ
honorable	honorable	ADJ
.	.	PUNCTsent
Déjà	déjà	ADV
,	,	PUNCTclause
madame	madame	NOUN
Firmiani	Firmiani	PROPN
se	se	PRON
métamorphose	métamorphoser	VERB
en	en	ADP
maison	maison	NOUN
.	.	PUNCTsent
Cette	ce	DET
maison	maison	NOUN
ne	ne	ADV
est	être	AUX
plus	plus	ADV
un	un	DET
amas	amas	NOUN
de	de	ADP
pierres	pierre	NOUN
superposées	superposer	VERB
architectoniquement	architectoniquement	ADV
;	;	PUNCTclause
non	non	ADV
,	,	PUNCTclause
ce	ce	DET
mot	mot	NOUN
est	être	AUX
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
langue	langue	NOUN
des	un	ADP_DET
Flâneurs	Flâneurs	NOUN
,	,	PUNCTclause
un	un	DET
idiotisme	idiotisme	NOUN
intraduisible	intraduisible	ADJ
.	.	PUNCTsent
Ici	ici	ADV
,	,	PUNCTclause
le	le	DET
Flâneur	Flâneur	NOUN
,	,	PUNCTclause
homme	homme	NOUN
sec	sec	ADJ
,	,	PUNCTclause
à	à	ADP
sourire	sourire	VERB
agréable	agréable	ADJ
,	,	PUNCTclause
disant	dire	VERB
de	de	ADP
jolis	joli	ADJ
riens	rien	NOUN
,	,	PUNCTclause
ayant	avoir	VERB
toujours	toujours	ADV
plus	plus	ADV
de	de	ADP
esprit	esprit	NOUN
acquis	acquérir	VERB
que	que	SCONJ
de	de	ADP
esprit	esprit	NOUN
naturel	naturel	ADJ
,	,	PUNCTclause
se	se	PRON
penche	pencher	VERB
à	à	ADP
votre	votre	DET
oreille	oreille	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
de	de	ADP
un	un	DET
air	air	NOUN
fin	fin	ADJ
,	,	PUNCTclause
vous	vous	PRON
dit	dire	VERB
:	:	PUNCTclause
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
jamais	jamais	ADV
vu	voir	VERB
monsieur	monsieur	NOUN
Firmiani	Firmiani	PROPN
.	.	PUNCTsent
Sa	son	DET
position	position	NOUN
sociale	social	ADJ
consiste	consister	VERB
à	à	ADP
gérer	gérer	VERB
des	un	DET
biens	bien	NOUN
en	en	ADP
Italie	Italie	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
madame	madame	NOUN
Firmiani	Firmiani	PROPN
est	être	AUX
Française	français	ADJ
,	,	PUNCTclause
et	et	CCONJ
dépense	dépenser	VERB
ses	son	DET
revenus	revenu	NOUN
en	en	ADP
parisienne	parisien	NOUN
.	.	PUNCTsent
Elle	elle	PRON
a	avoir	VERB
de	de	ADP
excellent	excellent	ADJ
thé	thé	NOUN
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
une	un	DET
des	un	ADP_DET
maisons	maison	NOUN
aujourd'hui	aujourd'hui	ADV
si	si	SCONJ
rares	rare	ADJ
où	où	PRON
l'on	on	PRON
se	se	PRON
amuse	amuser	VERB
et	et	CCONJ
où	où	PRON
ce	ce	PRON
que	que	PRON
l'on	on	PRON
vous	vous	PRON
donne	donner	VERB
est	être	AUX
exquis	exquis	ADJ
.	.	PUNCTsent
Il	il	PRON
est	être	AUX
d'ailleurs	d'ailleurs	ADV
fort	fort	ADV
difficile	difficile	ADJ
de	de	ADP
être	être	AUX
admis	admettre	VERB
chez	chez	ADP
elle	elle	PRON
.	.	PUNCTsent
Aussi	aussi	ADV
la	le	DET
meilleure	meilleur	ADJ
société	société	NOUN
se	se	PRON
trouve	trouver	VERB
elle	elle	PRON
dans	dans	ADP
ses	son	DET
salons	salon	NOUN
!	!	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
le	le	DET
Flâneur	Flâneur	NOUN
commente	commenter	VERB
ce	ce	DET
dernier	dernier	ADJ
mot	mot	NOUN
par	par	ADP
une	un	DET
prise	prise	NOUN
de	de	ADP
tabac	tabac	NOUN
saisie	saisir	VERB
gravement	gravement	ADV
;	;	PUNCTclause
il	il	PRON
se	se	PRON
garnit	garnir	VERB
le	le	DET
nez	nez	NOUN
à	à	ADP
petits	petit	ADJ
coups	coup	NOUN
,	,	PUNCTclause
et	et	CCONJ
semble	sembler	VERB
vous	vous	PRON
dire	dire	VERB
:	:	PUNCTclause
—	—	PUNCTclause
Je	je	PRON
vais	aller	VERB
dans	dans	ADP
cette	ce	DET
maison	maison	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
ne	ne	ADV
comptez	compter	VERB
pas	pas	ADV
sur	sur	ADP
moi	moi	PRON
pour	pour	ADP
vous	vous	PRON
y	y	PRON
présenter	présenter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Madame	madame	NOUN
Firmiani	Firmiani	PROPN
tient	tenir	VERB
pour	pour	ADP
les	le	DET
Flâneurs	Flâneurs	NOUN
une	un	DET
espèce	espèce	NOUN
de	de	ADP
auberge	auberge	NOUN
sans	sans	ADP
enseigne	enseigne	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	PRON
veux	vouloir	VERB
tu	tu	PRON
donc	donc	ADV
aller	aller	VERB
faire	faire	VERB
chez	chez	ADP
madame	madame	NOUN
Firmiani	Firmiani	PROPN
?	?	PUNCTsent
mais	mais	CCONJ
l'on	on	PRON
se	se	PRON
y	y	PRON
ennuie	ennuyer	VERB
autant	autant	ADV
que	que	SCONJ
à	à	ADP
la	le	DET
cour	cour	NOUN
.	.	PUNCTsent
À	à	ADP
quoi	quoi	PRON
sert	servir	VERB
de	de	ADP
avoir	avoir	VERB
de	de	ADP
l'	le	DET
esprit	esprit	NOUN
,	,	PUNCTclause
si	si	SCONJ
ce	ce	PRON
ne	ne	ADV
est	être	AUX
à	à	ADP
éviter	éviter	VERB
des	un	DET
salons	salon	NOUN
où	où	PRON
,	,	PUNCTclause
par	par	ADP
la	le	DET
poésie	poésie	NOUN
qui	qui	PRON
court	courir	VERB
,	,	PUNCTclause
on	on	PRON
lit	lire	VERB
la	le	DET
plus	plus	ADV
petite	petit	ADJ
ballade	ballade	NOUN
fraîchement	fraîchement	ADV
éclose	éclos	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Vous	vous	PRON
avez	avoir	AUX
questionné	questionner	VERB
l'un	l'un	PRON
de	de	ADP
vos	vos	DET
amis	ami	NOUN
classé	classer	VERB
parmi	parmi	ADP
les	le	DET
Personnels	Personnels	PROPN
,	,	PUNCTclause
gens	gens	NOUN
qui	qui	PRON
voudraient	vouloir	VERB
tenir	tenir	VERB
l'	le	DET
univers	univers	NOUN
sous	sous	ADP
clef	clef	NOUN
et	et	CCONJ
ne	ne	ADV
y	y	PRON
rien	rien	PRON
laisser	laisser	VERB
faire	faire	VERB
sans	sans	ADP
leur	leur	DET
permission	permission	NOUN
.	.	PUNCTsent
Ils	ils	PRON
sont	être	AUX
malheureux	malheureux	ADJ
de	de	ADP
tout	tout	DET
le	le:PRON	PRON
bonheur	bonheur	NOUN
des	un	ADP_DET
autres	autre	ADJ
,	,	PUNCTclause
ne	ne	ADV
pardonnent	pardonner	VERB
que	que	ADV
aux	au	ADP_DET
vices	vice	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
chutes	chute	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
infirmités	infirmité	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
veulent	vouloir	VERB
que	que	ADV
des	un	DET
protégés	protégé	NOUN
.	.	PUNCTsent
Aristocrates	aristocrate	NOUN
par	par	ADP
inclination	inclination	NOUN
,	,	PUNCTclause
ils	ils	PRON
se	se	PRON
font	faire	AUX
républicains	républicain	NOUN
par	par	ADP
dépit	dépit	NOUN
,	,	PUNCTclause
uniquement	uniquement	ADV
pour	pour	ADP
trouver	trouver	VERB
beaucoup de	beaucoup de	DET
inférieurs	inférieur	NOUN
parmi	parmi	ADP
leurs	leur	DET
égaux	égal	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
madame	madame	NOUN
Firmiani	Firmiani	PROPN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
,	,	PUNCTclause
est	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
femmes	femme	NOUN
adorables	adorable	ADJ
qui	qui	PRON
servent	servir	VERB
de	de	ADP
excuse	excuse	NOUN
à	à	ADP
la	le	DET
nature	nature	NOUN
pour	pour	ADP
toutes	tout	ADJ
les	le	DET
laides	laid	NOUN
que	que	PRON
elle	elle	PRON
a	avoir	AUX
créées	créer	VERB
par	par	ADP
erreur	erreur	NOUN
;	;	PUNCTclause
elle	elle	PRON
est	être	AUX
ravissante	ravissant	ADJ
!	!	PUNCTsent
elle	elle	PRON
est	être	AUX
bonne	bon	ADJ
!	!	PUNCTsent
Je	je	PRON
ne	ne	ADV
voudrais	vouloir	VERB
être	être	AUX
au	au	ADP_DET
pouvoir	pouvoir	NOUN
,	,	PUNCTclause
devenir	devenir	VERB
roi	roi	NOUN
,	,	PUNCTclause
posséder	posséder	VERB
des	un	DET
millions	million	NOUN
,	,	PUNCTclause
que	que	SCONJ
pour	pour	ADP
(	(	PUNCTclause
ici	ici	ADV
trois	trois	NUM
mots	mot	NOUN
dits	dire	VERB
à	à	ADP
l'	le	DET
oreille	oreille	NOUN
)	)	PUNCTclause
.	.	PUNCTsent
Veux	vouloir	VERB
tu	tu	PRON
que	que	PRON
je	je	PRON
te	te	PRON
y	y	PRON
présente	présenter	VERB
?…	?…	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
jeune	jeune	ADJ
homme	homme	NOUN
est	être	AUX
du	du	ADP_DET
genre	genre	NOUN
Lycéen	Lycéen	PROPN
connu	connaître	VERB
pour	pour	ADP
sa	son	DET
grande	grand	ADJ
hardiesse	hardiesse	NOUN
entre	entre	ADP
hommes	homme	NOUN
et	et	CCONJ
sa	son	DET
grande	grand	ADJ
timidité	timidité	NOUN
à	à	ADP
huis-clos	huis-clos	DET
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
Firmiani	Firmiani	PROPN
?	?	PUNCTsent
se	se	PRON
écrie	écrier	VERB
un	un	DET
autre	autre	ADJ
en	en	ADP
faisant	faire	VERB
tourner	tourner	VERB
sa	son	DET
canne	canne	NOUN
sur	sur	ADP
elle-même	elle-même	PRON
,	,	PUNCTclause
je	je	PRON
vais	aller	VERB
te	te	PRON
dire	dire	VERB
ce	ce	DET
que	que	PRON
je	je	PRON
en	en	PRON
pense	penser	VERB
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
une	un	DET
femme	femme	NOUN
entre	entre	ADP
trente	trente	NUM
et	et	CCONJ
trente-cinq	trente-cinq	NUM
ans	an	NOUN
,	,	PUNCTclause
figure	figurer	VERB
passée	passer	VERB
,	,	PUNCTclause
beaux	beau	ADJ
yeux	œil	NOUN
,	,	PUNCTclause
