# columns = TERM LEMMA POS
# identifier = balzac1830FC12
# creator = Balzac, Honoré de
# created = 1830
# modified = 1842
# title = Étude de femme. Études de mœurs. Scènes de la vie privée

↵↵	↵↵	PUNCTstruct
un	un	DET
homme	homme	NOUN
assez	assez	ADV
insignifiant	insignifiant	ADJ
:	:	PUNCTclause
il	il	PRON
est	être	AUX
bien	bien	ADV
en	en	ADP
cour	cour	NOUN
,	,	PUNCTclause
ses	son	DET
qualités	qualité	NOUN
sont	être	AUX
négatives	négatif	ADJ
comme	comme	ADP
ses	son	DET
défauts	défaut	NOUN
;	;	PUNCTclause
les	le	DET
unes	un	PRON
ne	ne	ADV
peuvent	pouvoir	VERB
pas	pas	ADV
plus	plus	ADV
lui	lui	PRON
faire	faire	VERB
une	un	DET
réputation	réputation	NOUN
de	de	ADP
vertu	vertu	NOUN
que	que	SCONJ
les	le	DET
autres	autre	PRON
ne	ne	ADV
lui	lui	PRON
donnent	donner	VERB
l'	le	DET
espèce	espèce	NOUN
de	de	ADP
éclat	éclat	NOUN
jeté	jeter	VERB
par	par	ADP
les	le	DET
vices	vice	NOUN
.	.	PUNCTsent
Député	député	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
parle	parler	VERB
jamais	jamais	ADV
,	,	PUNCTclause
mais	mais	CCONJ
il	il	PRON
vote	voter	VERB
bien	bien	ADV
;	;	PUNCTclause
il	il	PRON
se	se	PRON
comporte	comporter	VERB
dans	dans	ADP
son	son	DET
ménage	ménage	NOUN
comme	comme	SCONJ
à	à	ADP
la	le	DET
Chambre	chambre	NOUN
.	.	PUNCTsent
Aussi	aussi	ADV
passe	passer	VERB
il	il	PRON
pour	pour	ADP
être	être	AUX
le	le	DET
meilleur	meilleur	ADJ
mari	mari	NOUN
de	de	ADP
France	France	PROPN
.	.	PUNCTsent
si	si	SCONJ
il	il	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
susceptible	susceptible	ADJ
de	de	ADP
se	se	PRON
exalter	exalter	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
gronde	gronder	VERB
jamais	jamais	ADV
,	,	PUNCTclause
à	à	ADP
moins	moins	ADV
que	que	SCONJ
on	on	PRON
ne	ne	ADV
le	le:PRON	PRON
fasse	faire	VERB
attendre	attendre	VERB
.	.	PUNCTsent
Ses	son	DET
amis	ami	NOUN
l'	le:PRON	PRON
ont	avoir	AUX
nommé	nommer	VERB
le	le	DET
temps	temps	NOUN
couvert	couvert	ADJ
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
se	se	PRON
rencontre	rencontrer	VERB
en effet	en effet	ADV
chez	chez	ADP
lui	lui	PRON
ni	ni	CCONJ
lumière	lumière	NOUN
trop	trop	ADV
vive	vif	ADJ
,	,	PUNCTclause
ni	ni	CCONJ
obscurité	obscurité	NOUN
complète	complet	ADJ
.	.	PUNCTsent
Il	il	PRON
ressemble	ressembler	VERB
à	à	ADP
tous	tout	ADJ
les	le	DET
ministères	ministère	NOUN
qui	qui	PRON
se	se	PRON
sont	être	AUX
succédé	succéder	VERB
en	en	ADP
France	France	PROPN
depuis	depuis	ADP
la	le	DET
Charte	charte	NOUN
.	.	PUNCTsent
Pour	pour	ADP
une	un	DET
femme	femme	NOUN
à	à	ADP
principes	principe	NOUN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
difficile	difficile	ADJ
de	de	ADP
tomber	tomber	VERB
en	en	ADP
de	de	DET
meilleures	meilleur	ADJ
mains	main	NOUN
.	.	PUNCTsent
n'est-ce pas	n'est-ce pas	ADV
beaucoup	beaucoup	ADV
pour	pour	ADP
une	un	DET
femme	femme	NOUN
vertueuse	vertueux	ADJ
que	que	PRON
de	de	ADP
avoir	avoir	AUX
épousé	épouser	VERB
un	un	DET
homme	homme	NOUN
incapable	incapable	ADJ
de	de	ADP
faire	faire	VERB
des	un	DET
sottises	sottise	NOUN
?	?	PUNCTsent
Il	il	PRON
se	se	PRON
est	être	AUX
rencontré	rencontrer	VERB
des	un	ADP_DET
dandies	dandy	NOUN
qui	qui	PRON
ont	avoir	AUX
eu	avoir	VERB
l'	le	DET
impertinence	impertinence	NOUN
de	de	ADP
presser	presser	VERB
légèrement	légèrement	ADV
la	le	DET
main	main	NOUN
de	de	ADP
la	le	DET
marquise	marquis	NOUN
en	en	ADP
dansant	danser	VERB
avec	avec	ADP
elle	elle	PRON
,	,	PUNCTclause
ils	ils	PRON
ne	ne	ADV
ont	avoir	AUX
recueilli	recueillir	VERB
que	que	SCONJ
des	un	DET
regards	regard	NOUN
de	de	ADP
mépris	mépris	NOUN
,	,	PUNCTclause
et	et	CCONJ
tous	tous	PRON
ont	avoir	AUX
éprouvé	éprouver	VERB
cette	ce	DET
indifférence	indifférence	NOUN
insultante	insultant	ADJ
qui	qui	PRON
,	,	PUNCTclause
semblable	semblable	ADJ
aux	au	ADP_DET
gelées	gelée	NOUN
du	du	ADP_DET
printemps	printemps	NOUN
,	,	PUNCTclause
détruit	détruire	VERB
le	le	DET
germe	germe	NOUN
des	un	ADP_DET
plus	plus	ADV
belles	beau	ADJ
espérances	espérance	NOUN
.	.	PUNCTsent
Les	le	DET
beaux	beau	ADJ
,	,	PUNCTclause
les	le	DET
spirituels	spirituel	ADJ
,	,	PUNCTclause
les	le	DET
fats	fat	NOUN
,	,	PUNCTclause
les	le	DET
hommes	homme	NOUN
à	à	ADP
sentiment	sentiment	NOUN
qui	qui	PRON
se	se	PRON
nourrissent	nourrir	VERB
en	en	ADP
tétant	téter	VERB
leurs	leur	DET
cannes	canne	NOUN
,	,	PUNCTclause
ceux	ceux	PRON
à	à	ADP
grand	grand	ADJ
nom	nom	NOUN
ou	ou	CCONJ
à	à	ADP
grosse	gros	ADJ
renommée	renommée	NOUN
,	,	PUNCTclause
les	le	DET
gens	gens	NOUN
de	de	ADP
haute	haut	ADJ
et	et	CCONJ
petite	petit	ADJ
volée	voler	VERB
,	,	PUNCTclause
auprès de	auprès de	ADP
elle	elle	PRON
tout	tout	PRON
a	avoir	AUX
blanchi	blanchir	VERB
.	.	PUNCTsent
Elle	elle	PRON
a	avoir	AUX
conquis	conquérir	VERB
le	le	DET
droit	droit	NOUN
de	de	ADP
causer	causer	VERB
aussi	aussi	ADV
longtemps	longtemps	ADV
et	et	CCONJ
aussi	aussi	ADV
souvent	souvent	ADV
que	que	SCONJ
elle	elle	PRON
le	le:PRON	PRON
veut	vouloir	VERB
avec	avec	ADP
les	le	DET
hommes	homme	NOUN
qui	qui	PRON
lui	lui	PRON
semblent	sembler	VERB
spirituels	spirituel	ADJ
,	,	PUNCTclause
sans que	sans que	SCONJ
elle	elle	PRON
soit	être	AUX
couchée	coucher	VERB
sur	sur	ADP
l'	le	DET
album	album	NOUN
de	de	ADP
la	le	DET
médisance	médisance	NOUN
.	.	PUNCTsent
Certaines	certain	DET
femmes	femme	NOUN
coquettes	coquet	ADJ
sont	être	AUX
capables	capable	ADJ
de	de	ADP
suivre	suivre	VERB
ce	ce	DET
plan	plan	NOUN
pendant	pendant	ADP
sept	sept	NUM
ans	an	NOUN
pour	pour	ADP
satisfaire	satisfaire	VERB
plus tard	plus tard	ADV
leurs	leur	DET
fantaisies	fantaisie	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
supposer	supposer	VERB
cette	ce	DET
arrière-pensée	arrière-pensée	NOUN
à	à	ADP
la	le	DET
marquise	marquis	NOUN
de	de	ADP
Listomère	Listomère	PROPN
serait	être	AUX
la	le	DET
calomnier	calomnier	VERB
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
le	le	DET
bonheur	bonheur	NOUN
de	de	ADP
voir	voir	VERB
ce	ce	DET
phénix	phénix	NOUN
des	un	ADP_DET
marquises	marquis	NOUN
:	:	PUNCTclause
elle	elle	PRON
cause	causer	VERB
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
sais	savoir	VERB
écouter	écouter	VERB
,	,	PUNCTclause
je	je	PRON
lui	lui	PRON
ai	avoir	AUX
plu	pleuvoir	VERB
,	,	PUNCTclause
je	je	PRON
vais	aller	VERB
à	à	ADP
ses	son	DET
soirées	soirée	NOUN
.	.	PUNCTsent
Tel	tel	PRON
était	être	AUX
le	le	DET
but	but	NOUN
de	de	ADP
mon	mon	DET
ambition	ambition	NOUN
.	.	PUNCTsent
Ni	ni	CCONJ
laide	laid	NOUN
ni	ni	CCONJ
jolie	joli	ADJ
,	,	PUNCTclause
madame	madame	NOUN
de	de	ADP
Listomère	Listomère	PROPN
a	avoir	AUX
des	un	DET
dents	dent	NOUN
blanches	blanc	ADJ
,	,	PUNCTclause
le	le:PRON	PRON
teint	teindre	VERB
éclatant	éclater	VERB
et	et	CCONJ
les	le	DET
lèvres	lèvre	NOUN
très-rouges	très-rouges	PUNCT
;	;	PUNCTclause
elle	elle	PRON
est	être	AUX
grande	grand	ADJ
et	et	CCONJ
bien	bien	ADV
faite	faire	VERB
;	;	PUNCTclause
elle	elle	PRON
a	avoir	AUX
le	le	DET
pied	pied	NOUN
petit	petit	ADJ
,	,	PUNCTclause
fluet	fluet	ADJ
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
l'	le:PRON	PRON
avance	avancer	VERB
pas	pas	ADV
;	;	PUNCTclause
ses	son	DET
yeux	œil	NOUN
,	,	PUNCTclause
loin de	loin de	ADP
être	être	AUX
éteints	éteindre	VERB
,	,	PUNCTclause
comme	comme	ADP
le	le	DET
sont	être	AUX
presque	presque	ADV
tous	tout	ADJ
les	le	DET
yeux	œil	NOUN
parisiens	parisien	ADJ
,	,	PUNCTclause
ont	avoir	AUX
un	un	DET
éclat	éclat	NOUN
doux	doux	ADJ
qui	qui	PRON
devient	devenir	VERB
magique	magique	ADJ
si	si	SCONJ
par hasard	par hasard	ADV
elle	elle	PRON
se	se	PRON
anime	animer	VERB
.	.	PUNCTsent
On	on	PRON
devine	deviner	VERB
une	un	DET
âme	âme	NOUN
à travers	à travers	ADP
cette	ce	DET
forme	forme	NOUN
indécise	indécis	ADJ
.	.	PUNCTsent
Si	si	SCONJ
elle	elle	PRON
se	se	PRON
intéresse	intéresser	VERB
à	à	ADP
la	le	DET
conversation	conversation	NOUN
,	,	PUNCTclause
elle	elle	PRON
y	y	PRON
déploie	déployer	VERB
une	un	DET
grâce	grâce	NOUN
ensevelie	ensevelir	VERB
sous	sous	ADP
les	le	DET
précautions	précaution	NOUN
de	de	ADP
un	un	DET
maintien	maintien	NOUN
froid	froid	ADJ
,	,	PUNCTclause
et	et	CCONJ
alors	alors	ADV
elle	elle	PRON
est	être	AUX
charmante	charmant	ADJ
.	.	PUNCTsent
Elle	elle	PRON
ne	ne	ADV
veut	vouloir	VERB
pas	pas	ADV
de	de	ADP
succès	succès	NOUN
et	et	CCONJ
en	en	ADP
obtient	obtenir	VERB
.	.	PUNCTsent
On	on	PRON
trouve	trouver	VERB
toujours	toujours	ADV
ce	ce	DET
que	que	SCONJ
on	on	PRON
ne	ne	ADV
cherche	chercher	VERB
pas	pas	ADV
.	.	PUNCTsent
Cette	ce	DET
phrase	phrase	NOUN
est	être	AUX
trop	trop	ADV
souvent	souvent	ADV
vraie	vrai	ADJ
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
se	se	PRON
changer	changer	VERB
un	un	DET
jour	jour	NOUN
en	en	ADP
proverbe	proverbe	NOUN
.	.	PUNCTsent
Ce	ce	PRON
sera	être	AUX
la	le	DET
moralité	moralité	NOUN
de	de	ADP
cette	ce	DET
aventure	aventure	NOUN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
ne	ne	ADV
me	me	PRON
permettrais	permettre	VERB
pas	pas	ADV
de	de	ADP
raconter	raconter	VERB
,	,	PUNCTclause
si	si	SCONJ
elle	elle	PRON
ne	ne	ADV
retentissait	retentir	VERB
en	en	ADP
ce	ce	DET
moment	moment	NOUN
dans	dans	ADP
tous	tout	ADJ
les	le	DET
salons	salon	NOUN
de	de	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
marquise	marquis	NOUN
de	de	ADP
Listomère	Listomère	PROPN
a	avoir	AUX
dansé	danser	VERB
,	,	PUNCTclause
il y a	il y a	VERB
un	un	DET
mois	mois	NOUN
environ	environ	ADV
,	,	PUNCTclause
avec	avec	ADP
un	un	DET
jeune	jeune	ADJ
homme	homme	NOUN
aussi	aussi	ADV
modeste	modeste	ADJ
que	que	SCONJ
il	il	PRON
est	être	AUX
étourdi	étourdi	NOUN
,	,	PUNCTclause
plein	plein	ADJ
de	de	ADP
bonnes	bon	ADJ
qualités	qualité	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
laissant	laisser	VERB
voir	voir	VERB
que	que	SCONJ
ses	son	DET
défauts	défaut	NOUN
;	;	PUNCTclause
il	il	PRON
est	être	AUX
passionné	passionner	VERB
et	et	CCONJ
se	se	PRON
moque	moquer	VERB
des	un	ADP_DET
passions	passion	NOUN
;	;	PUNCTclause
il	il	PRON
a	avoir	VERB
du	du	ADP_DET
talent	talent	NOUN
et	et	CCONJ
il	il	PRON
le	le:PRON	PRON
cache	cacher	VERB
;	;	PUNCTclause
il	il	PRON
fait	faire	VERB
le	le	DET
savant	savant	NOUN
avec	avec	ADP
les	le	DET
aristocrates	aristocrate	NOUN
et	et	CCONJ
fait	fait	NOUN
de	de	ADP
l'	le	DET
aristocratie	aristocratie	NOUN
avec	avec	ADP
les	le	DET
savants	savant	NOUN
.	.	PUNCTsent
Eugène	Eugène	PROPN
de	de	ADP
Rastignac	Rastignac	PROPN
est	être	AUX
un	un	PRON
de	de	ADP
ces	ce	DET
jeunes	jeune	ADJ
gens	gens	NOUN
très-sensés	très-sensés	PUNCT
qui	qui	PRON
essaient	essayer	VERB
de	de	ADP
tout	tout	DET
,	,	PUNCTclause
et	et	CCONJ
semblent	sembler	VERB
tâter	tâter	VERB
les	le	DET
hommes	homme	NOUN
pour	pour	ADP
savoir	savoir	VERB
ce	ce	DET
que	que	SCONJ
porte	porter	VERB
l'	le	DET
avenir	avenir	NOUN
.	.	PUNCTsent
En	en	ADP
attendant	attendre	VERB
l'	le	DET
âge	âge	NOUN
de	de	ADP
l'	le	DET
ambition	ambition	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
moque	moquer	VERB
de	de	ADP
tout	tout	ADV
;	;	PUNCTclause
il	il	PRON
a	avoir	AUX
de	de	ADP
la	le	DET
grâce	grâce	NOUN
et	et	CCONJ
de	de	ADP
l'	le	DET
originalité	originalité	NOUN
,	,	PUNCTclause
deux	deux	NUM
qualités	qualité	NOUN
rares	rare	ADJ
parce que	parce que	SCONJ
elles	elles	PRON
se	se	PRON
excluent	exclure	VERB
l'une	l'une	PRON
l'autre	l'autre	PRON
.	.	PUNCTsent
Il	il	PRON
a	avoir	VERB
causé	causer	VERB
sans	sans	ADP
préméditation	préméditation	NOUN
de	de	ADP
succès	succès	NOUN
avec	avec	ADP
la	le	DET
marquise	marquis	NOUN
de	de	ADP
Listomère	Listomère	PROPN
,	,	PUNCTclause
pendant	pendant	ADP
une	un	DET
demi-heure	demi-heure	NOUN
environ	environ	ADV
.	.	PUNCTsent
En	en	ADP
se	se	PRON
jouant	jouer	VERB
des	un	ADP_DET
caprices	caprice	NOUN
de	de	ADP
une	un	DET
conversation	conversation	NOUN
qui	qui	PRON
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
commencé	commencer	VERB
à	à	ADP
l'	le	DET
opéra	opéra	NOUN
de	de	ADP
Guillaume-Tell	Guillaume-Tell	PROPN
,	,	PUNCTclause
en	en	ADP
était	être	AUX
venue	venir	VERB
aux	au	ADP_DET
devoirs	devoir	NOUN
des	un	ADP_DET
femmes	femme	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
plus	plus	ADV
de	de	ADP
une	un	DET
fois	fois	NOUN
regardé	regarder	VERB
la	le	DET
marquise	marquis	NOUN
de manière à	de manière à	ADP
l'	le	DET
embarrasser	embarrasser	VERB
;	;	PUNCTclause
puis	puis	CCONJ
il	il	PRON
la	le:PRON	PRON
quitta	quitter	VERB
et	et	CCONJ
ne	ne	ADV
lui	lui	PRON
parla	parler	VERB
plus	plus	ADV
de	de	ADP
toute	tout	ADJ
la	le	DET
soirée	soirée	NOUN
;	;	PUNCTclause
il	il	PRON
dansa	danser	VERB
,	,	PUNCTclause
se	se	PRON
mit	mettre	VERB
à	à	ADP
l'	le	DET
écarté	écarté	ADJ
,	,	PUNCTclause
perdit	perdre	VERB
quelque	quelque	DET
argent	argent	NOUN
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
en	en	ADP
alla	aller	VERB
se	se	PRON
coucher	coucher	VERB
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
l'	le	DET
honneur	honneur	NOUN
de	de	ADP
vous	vous	PRON
affirmer	affirmer	VERB
que	que	SCONJ
tout	tout	PRON
se	se	PRON
passa	passer	VERB
ainsi	ainsi	ADV
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ajoute	ajouter	VERB
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
retranche	retrancher	VERB
rien	rien	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
lendemain	lendemain	NOUN
matin	matin	NOUN
Rastignac	Rastignac	PROPN
se	se	PRON
réveilla	réveiller	VERB
tard	tard	ADV
,	,	PUNCTclause
resta	rester	VERB
dans	dans	ADP
son	son	DET
lit	lit	NOUN
,	,	PUNCTclause
où	où	PRON
il	il	PRON
se	se	PRON
livra	livrer	VERB
sans doute	sans doute	ADV
à	à	ADP
quelques-unes	quelques-unes	PRON
de	de	ADP
ces	ce	DET
rêveries	rêverie	NOUN
matinales	matinal	ADJ
pendant	pendant	ADP
lesquelles	lesquelles	PRON
un	un	DET
jeune	jeune	ADJ
homme	homme	NOUN
se	se	PRON
glisse	glisser	VERB
comme	comme	ADP
un	un	DET
sylphe	sylphe	NOUN
sous	sous	ADP
plus	plus	ADV
de	de	ADP
une	un	DET
courtine	courtine	NOUN
de	de	ADP
soie	soie	NOUN
,	,	PUNCTclause
de	de	ADP
cachemire	cachemire	NOUN
ou	ou	CCONJ
de	de	ADP
coton	coton	NOUN
.	.	PUNCTsent
En	en	ADP
ces	ce	DET
moments	moment	NOUN
,	,	PUNCTclause
plus	plus	ADV
le	le	DET
corps	corps	NOUN
est	être	AUX
lourd	lourd	ADJ
de	de	ADP
sommeil	sommeil	NOUN
,	,	PUNCTclause
plus	plus	ADV
l'	le	DET
esprit	esprit	NOUN
est	être	AUX
agile	agile	ADJ
.	.	PUNCTsent
Enfin	enfin	ADV
Rastignac	Rastignac	PROPN
se	se	PRON
leva	lever	VERB
sans	sans	ADP
trop	trop	ADV
bâiller	bâiller	VERB
,	,	PUNCTclause
comme	comme	ADP
font	faire	AUX
tant de	tant de	DET
gens	gens	NOUN
mal	mal	ADV
appris	apprendre	VERB
,	,	PUNCTclause
sonna	sonner	VERB
son	son	DET
valet de chambre	valet de chambre	NOUN
,	,	PUNCTclause
se	se	PRON
fit	faire	AUX
apprêter	apprêter	VERB
du	du	ADP_DET
thé	thé	NOUN
,	,	PUNCTclause
en	en	ADP
but	but	NOUN
immodérément	immodérément	ADV
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
ne	ne	ADV
paraîtra	paraître	VERB
pas	pas	ADV
extraordinaire	extraordinaire	ADJ
aux	au	ADP_DET
personnes	personne	NOUN
qui	qui	PRON
aiment	aimer	VERB
le	le	DET
thé	thé	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
pour	pour	ADP
expliquer	expliquer	VERB
cette	ce	DET
circonstance	circonstance	NOUN
aux	au	ADP_DET
gens	gens	NOUN
qui	qui	PRON
ne	ne	ADV
l'	le:PRON	PRON
acceptent	accepter	VERB
que	que	SCONJ
comme	comme	SCONJ
la	le	DET
panacée	panacée	NOUN
des	un	ADP_DET
indigestions	indigestion	NOUN
,	,	PUNCTclause
je	je	PRON
ajouterai	ajouter	VERB
que	que	SCONJ
Eugène	Eugène	PROPN
écrivait	écrire	VERB
:	:	PUNCTclause
il	il	PRON
était	être	AUX
commodément	commodément	ADV
assis	asseoir	VERB
,	,	PUNCTclause
et	et	CCONJ
avait	avoir	VERB
les	le	DET
pieds	pied	NOUN
plus	plus	ADV
souvent	souvent	ADV
sur	sur	ADP
ses	son	DET
chenets	chenet	NOUN
que	que	ADV
dans	dans	ADP
sa	son	DET
chancelière	chancelier	NOUN
.	.	PUNCTsent
ho	ho	INTJ
!	!	PUNCTsent
avoir	avoir	VERB
les	le	DET
pieds	pied	NOUN
sur	sur	ADP
la	le	DET
barre	barre	NOUN
polie	poli	ADJ
qui	qui	PRON
réunit	réunir	VERB
les	le	DET
deux	deux	NUM
griffons	griffon	NOUN
de	de	ADP
un	un	DET
garde-cendre	garde-cendre	NOUN
,	,	PUNCTclause
et	et	CCONJ
penser	penser	VERB
à	à	ADP
ses	son	DET
amours	amour	NOUN
quand	quand	SCONJ
on	on	PRON
se	se	PRON
lève	lever	VERB
et	et	CCONJ
que	que	SCONJ
on	on	PRON
est	être	AUX
en	en	ADP
robe de chambre	robe de chambre	NOUN
,	,	PUNCTclause
est	être	AUX
chose	chose	NOUN
si	si	ADV
délicieuse	délicieux	ADJ
,	,	PUNCTclause
que	que	PRON
je	je	PRON
regrette	regretter	VERB
infiniment	infiniment	ADV
de	de	ADP
ne	ne	ADV
avoir	avoir	VERB
ni	ni	CCONJ
maîtresse	maître	NOUN
,	,	PUNCTclause
ni	ni	CCONJ
chenets	chenet	NOUN
,	,	PUNCTclause
ni	ni	CCONJ
robe de chambre	robe de chambre	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
je	je	PRON
aurai	avoir	VERB
tout	tout	DET
cela	cela	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
raconterai	raconter	VERB
pas	pas	ADV
mes	mon	DET
observations	observation	NOUN
,	,	PUNCTclause
je	je	PRON
en	en	PRON
profiterai	profiter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
première	premier	ADJ
lettre	lettre	NOUN
que	que	PRON
Eugène	Eugène	PROPN
écrivit	écrire	VERB
fut	être	AUX
achevée	achever	VERB
en	en	ADP
un	un	DET
quart d'heure	quart d'heure	NOUN
;	;	PUNCTclause
il	il	PRON
la	le	DET
plia	plier	VERB
,	,	PUNCTclause
la	le	DET
cacheta	cacheter	VERB
et	et	CCONJ
la	le	DET
laissa	laisser	VERB
devant	devant	ADP
lui	lui	PRON
sans	sans	ADP
y	y	PRON
mettre	mettre	VERB
l'	le	DET
adresse	adresse	NOUN
.	.	PUNCTsent
La	le	DET
seconde	second	ADJ
